dataset,seed,family,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff,pos_edges,neg_edges
ml-1m,0,EASE,0.0,143.07621955871582,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,,,
ml-1m,0,SignedLap,1.0,136.00046706199646,0.36813762504957037,0.23431957070907222,0.8891478029294274,0.228106338771409,0.3044496487119438,0.7686284313223395,2.3537484254760677,0.36954604282885833,0.20847607545189037,0.9384154460719041,0.3345441916103006,0.38846604215456676,0.7595470294819167,2.511361652075045,0.36813762504957037,0.23431957070907222,0.8891478029294274,0.228106338771409,0.3044496487119438,0.7686284313223395,2.3537484254760677,4710472.5,1.4480096848815e-08,6008,1,0.004781485980681701,0.0,999298.0,251938.0
ml-1m,0,SignedLap,3.0,135.65605306625366,0.3659458260371266,0.23309719292455108,0.8838215712383488,0.22490841570584197,0.29420374707259955,0.7830005432226352,2.3009435298940106,0.3662013049556248,0.2062614928033418,0.9357523302263648,0.3295322871678859,0.37675644028103045,0.7734819127462271,2.4553719529644678,0.3659458260371266,0.23309719292455108,0.8838215712383488,0.22490841570584197,0.29420374707259955,0.7830005432226352,2.3009435298940106,5839618.5,0.025354935015546674,6008,1,0.0025896869682380695,0.0,999298.0,251938.0
ml-1m,0,SignedLap,10.0,135.1841094493866,0.3557382665481255,0.22562826654093357,0.8723368841544608,0.21473210387985134,0.26288056206088994,0.8067040530962428,2.1882564440491037,0.3545507471226784,0.19811263271190896,0.9280958721704394,0.31554670251599043,0.3395784543325527,0.7965378202626383,2.337026412346682,0.3557382665481255,0.22562826654093357,0.8723368841544608,0.21473210387985134,0.26288056206088994,0.8067040530962428,2.1882564440491037,5971915.5,1.532634959492028e-06,6008,-1,-0.007617872520763147,0.0,999298.0,251938.0
ml-1m,0,SignedLap,30.0,137.84293723106384,0.33528339890695186,0.20925135019855945,0.8515312916111851,0.197713969805605,0.20930913348946137,0.8328033018911847,2.027362660370254,0.33169982517025876,0.18174132823026384,0.9141145139813582,0.2893019930987645,0.2781030444964871,0.8239746653584694,2.1690788272387924,0.33528339890695186,0.20925135019855945,0.8515312916111851,0.197713969805605,0.20930913348946137,0.8328033018911847,2.027362660370254,5141466.5,5.333003620550545e-51,6008,-1,-0.028072740161936782,-0.0039954047270687465,999298.0,251938.0
ml-1m,1,EASE,0.0,140.41871976852417,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,,,
ml-1m,1,SignedLap,1.0,135.96044945716858,0.3664420023637469,0.23284028497747314,0.8762903762903763,0.2240746427976499,0.3059133489461358,0.7696940061533364,2.352630587091687,0.3675190877029783,0.20677291300396755,0.9372294372294372,0.33063295472791526,0.3940281030444965,0.7625185859212604,2.51185425846565,0.3664420023637469,0.23284028497747314,0.8762903762903763,0.2240746427976499,0.3059133489461358,0.7696940061533364,2.352630587091687,4744093.0,4.902116330067732e-06,6006,1,0.004093114872337479,0.0,999298.0,251938.0
ml-1m,1,SignedLap,3.0,133.1676607131958,0.3633836000806526,0.23113725311075084,0.872960372960373,0.2201855575173194,0.29596018735363,0.7842423320168128,2.2996312741611775,0.3629382662704212,0.20400963672889041,0.9330669330669331,0.3233761037911492,0.38144028103044497,0.7762976087611544,2.4545074943645906,0.3633836000806526,0.23113725311075084,0.872960372960373,0.2201855575173194,0.29596018735363,0.7842423320168128,2.2996312741611775,5854678.5,0.4114889690692646,6006,1,0.0010347125892432116,0.0,999298.0,251938.0
ml-1m,1,SignedLap,10.0,133.58252882957458,0.352073730912158,0.22219740262257268,0.8649683649683649,0.2113269057581901,0.2611241217798595,0.8061093614905273,2.1833042987263287,0.35022749330630953,0.19497782838171637,0.9242424242424242,0.30929594590649157,0.3427985948477752,0.7992764280979481,2.3333434306576715,0.352073730912158,0.22219740262257268,0.8649683649683649,0.2113269057581901,0.2611241217798595,0.8061093614905273,2.1833042987263287,5693429.0,2.5900021923229874e-12,6006,-1,-0.010275156579251448,0.0,999298.0,251938.0
ml-1m,1,SignedLap,30.0,134.47640109062195,0.3316367710023459,0.20674708312179962,0.8394938394938395,0.19405643452157928,0.21311475409836064,0.8362764524852437,2.0216799040661213,0.32797132432607223,0.17923760730376342,0.908924408924409,0.28398811802655255,0.28395784543325525,0.8276254673161889,2.165968737244107,0.3316367710023459,0.20674708312179962,0.8394938394938395,0.19405643452157928,0.21311475409836064,0.8362764524852437,2.0216799040661213,4901217.0,1.6426533491000533e-61,6006,-1,-0.03071211648906354,-0.005635089613937855,999298.0,251938.0
