dataset,model,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,SLIM,0.0,,,overall,5957,0.11239220912856687,0.08534763231966765,0.507470203122377,0.12671605642887224,0.14491216538842552,0.6839012925969448
ml-1m,SLIM,0.0,,,q1,5787,0.11985625727456935,0.11303091978017785,0.5002592016588906,0.1406859932085582,0.18902866643697916,0.6754795230689477
ml-1m,SLIM,0.0,,,q2,4520,0.012113205721987985,0.022195330452065024,0.05243362831858407,0.018139891724110745,0.04053454758544511,0.10110619469026548
ml-1m,SLIM,0.0,,,q3,3059,0.004152478880342258,0.008830500163452108,0.014056881333769205,0.006471212719211066,0.016689010661432344,0.02680614579928081
ml-1m,SLIM,0.0,,,q4,1767,0.0007912663898552109,0.0018392756083757782,0.0028296547821165816,0.0020549893439874446,0.006555366911903414,0.008488964346349746
ml-1m,SLIM,0.0,,,q5,775,0.00028181604750730863,0.0006451612903225806,0.0012903225806451613,0.0004956170355914758,0.0012903225806451613,0.0025806451612903226
ml-1m,EASE,0.0,,,overall,5957,0.11328379740943686,0.08900295108885321,0.5066308544569414,0.12998526618389683,0.1536942111527436,0.6822225952660735
ml-1m,EASE,0.0,,,q1,5787,0.12504748984501393,0.12342798033846346,0.5114912735441507,0.14918215057341186,0.2074152043009652,0.6860203905304993
ml-1m,EASE,0.0,,,q2,4520,0.006831619305343441,0.012777773380240713,0.028982300884955754,0.012396876454437745,0.030764446374546176,0.07079646017699115
ml-1m,EASE,0.0,,,q3,3059,0.0015441454207016118,0.003623188405797101,0.005884275907159202,0.0027273065340833384,0.0076659038901601825,0.011114743380189604
ml-1m,EASE,0.0,,,q4,1767,0.0,0.0,0.0,0.00022177074242557679,0.0008488964346349745,0.0011318619128466328
ml-1m,EASE,0.0,,,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,1.0,rp3beta,none,overall,5957,0.11761172702167244,0.08839937320306804,0.5113312069833809,0.1338072904032917,0.15381931910135868,0.6886016451233843
ml-1m,SLIM-Laplacian,1.0,rp3beta,none,q1,5787,0.1303332395117995,0.12266198530356068,0.5196129255227233,0.1546241400142375,0.209121738612825,0.6953516502505616
ml-1m,SLIM-Laplacian,1.0,rp3beta,none,q2,4520,0.004486373076708199,0.00848371499200974,0.017256637168141593,0.009598205254636031,0.02569200131760921,0.048893805309734514
ml-1m,SLIM-Laplacian,1.0,rp3beta,none,q3,3059,0.0009341576791938316,0.002315571537539501,0.0035959463877084014,0.0017382210715851953,0.005067015364498202,0.007845701209545603
ml-1m,SLIM-Laplacian,1.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,1.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,3.0,rp3beta,none,overall,5957,0.11806380587828119,0.08877414861873367,0.5111633372502937,0.13416766120993331,0.154841483692107,0.6857478596609031
ml-1m,SLIM-Laplacian,3.0,rp3beta,none,q1,5787,0.13109555203877385,0.12357005761554216,0.5197857266286504,0.1553650040384935,0.21072440517747093,0.6929324347675825
ml-1m,SLIM-Laplacian,3.0,rp3beta,none,q2,4520,0.004100820533275802,0.007769156406875934,0.015486725663716814,0.008944854613017859,0.0241151911571221,0.045575221238938056
ml-1m,SLIM-Laplacian,3.0,rp3beta,none,q3,3059,0.0007965476272898351,0.001988667320475101,0.0032690421706440013,0.0014860546064275912,0.004331480876103301,0.006538084341288003
ml-1m,SLIM-Laplacian,3.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,3.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,none,overall,5957,0.11984954051994395,0.09038954072422738,0.5143528621789492,0.13446903321185485,0.15335905616813061,0.6800402887359409
ml-1m,SLIM-Laplacian,10.0,rp3beta,none,q1,5787,0.13354104358810248,0.12663455259402812,0.5249697598064628,0.1567186360526634,0.21132608942234385,0.6905132192846034
ml-1m,SLIM-Laplacian,10.0,rp3beta,none,q2,4520,0.0031323877515582414,0.00561852353819257,0.011725663716814159,0.006726178721604243,0.01727832425151187,0.033849557522123895
ml-1m,SLIM-Laplacian,10.0,rp3beta,none,q3,3059,0.0004563657586983032,0.0010079546692819002,0.001961425302386401,0.001006522865830052,0.003078348044023101,0.004576659038901602
ml-1m,SLIM-Laplacian,10.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,none,overall,5957,0.12058995890526193,0.08872265184035032,0.5104918583179453,0.1341289376512091,0.14906666352919953,0.6729897599462817
ml-1m,SLIM-Laplacian,30.0,rp3beta,none,q1,5787,0.13435594883679583,0.12447257373071179,0.523241748747192,0.15729502569932033,0.20813661458921648,0.6886124071194055
ml-1m,SLIM-Laplacian,30.0,rp3beta,none,q2,4520,0.0019491265120340831,0.0038034102082774653,0.007079646017699115,0.003450743248828544,0.00859121026641027,0.016371681415929203
ml-1m,SLIM-Laplacian,30.0,rp3beta,none,q3,3059,0.00020769856881854354,0.0003541462351531001,0.0009807126511932004,0.00030480452951640164,0.0006810504522175002,0.0016345210853220007
ml-1m,SLIM-Laplacian,30.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,75.0,rp3beta,none,overall,5957,0.12041648422346202,0.08433778803765365,0.5076380728554641,0.13276875870348132,0.14320424125443282,0.663924794359577
ml-1m,SLIM-Laplacian,75.0,rp3beta,none,q1,5787,0.13407916662617855,0.11851567226806749,0.5213409365819941,0.15554580137653878,0.19919852192739454,0.6818731639882495
ml-1m,SLIM-Laplacian,75.0,rp3beta,none,q2,4520,0.0006711444204142788,0.0015454321980870654,0.003982300884955752,0.0013713791499049032,0.0037379004967500544,0.007300884955752212
ml-1m,SLIM-Laplacian,75.0,rp3beta,none,q3,3059,0.0,0.0,0.0,0.00012099823404032419,0.0003541462351531001,0.0009807126511932004
ml-1m,SLIM-Laplacian,75.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
