dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_SLIM_stat,wilcoxon_vs_SLIM_p,wilcoxon_vs_SLIM_n_pairs,wilcoxon_vs_SLIM_sign,wilcoxon_vs_SLIM_mean_diff,wilcoxon_vs_SLIM_median_diff,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,SLIM,0.0,,,0.0001,0.5,416.95823884010315,0.3507543048011929,0.21978824215734524,0.8686750998668442,0.21155108302565634,0.5081967213114754,0.7910997510232134,2.5921897981790143,0.3513214240633134,0.194255501274633,0.9242676431424767,0.31358340041230875,0.656615925058548,0.7928928912141517,2.738888158423501,0.3507543048011929,0.21978824215734524,0.8686750998668442,0.21155108302565634,0.5081967213114754,0.7910997510232134,2.5921897981790143,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.0001,0.9,407.9794409275055,0.35151046814703646,0.22038593333626047,0.8698402130492676,0.21285880372722846,0.5026346604215457,0.789599016492861,2.5926585672647975,0.35208167525675566,0.19474672399841977,0.9257656458055925,0.3151305081605711,0.6466627634660421,0.7903712960959253,2.7392349029044185,0.35151046814703646,0.22038593333626047,0.8698402130492676,0.21285880372722846,0.5026346604215457,0.789599016492861,2.5926585672647975,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.001,0.5,370.50389432907104,0.35480558042124294,0.22330712046216866,0.8716711051930759,0.2153047425772019,0.42564402810304447,0.7664879427155356,2.5691329059675074,0.35646089768153877,0.19778411905656623,0.931757656458056,0.32104086843876023,0.5383489461358314,0.7641475495062231,2.7104619108092174,0.35480558042124294,0.22330712046216866,0.8716711051930759,0.2153047425772019,0.42564402810304447,0.7664879427155356,2.5691329059675074,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.001,0.9,372.98163175582886,0.3546223685544141,0.22318214440249146,0.8728362183754993,0.21495010917471657,0.4057377049180328,0.7592939092273314,2.5631175717796033,0.35658994676396466,0.19775049863210592,0.9324234354194407,0.32143790509787956,0.5120023419203747,0.7560370049767835,2.7042060579636753,0.3546223685544141,0.22318214440249146,0.8728362183754993,0.21495010917471657,0.4057377049180328,0.7592939092273314,2.5631175717796033,,,0,0,,,,,0,0,,
ml-1m,EASE,0.0,,,,,134.73768758773804,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,6036543.5,3.120096429473232e-08,6008,1,0.008550558647645697,0.0,,,0,0,,
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,98.32916903495789,0.36534329175994806,0.23342711555081175,0.8746671105193076,0.22078667645690817,0.2620023419203747,0.7766244634714234,2.279934678813736,0.36573186014283454,0.20606889422099195,0.9350865512649801,0.32810662026043735,0.3430913348946136,0.7653818088964428,2.4425661737398174,0.36534329175994806,0.23342711555081175,0.8746671105193076,0.22078667645690817,0.2620023419203747,0.7766244634714234,2.279934678813736,5102141.5,3.1492678243572197e-20,6008,1,0.01053771133870511,0.0,5965829.5,0.2537634520839509,6008,1,0.0019871526910594144,0.0
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,99.4640736579895,0.365468342202951,0.23341285952630053,0.8738348868175766,0.22087310025062784,0.257903981264637,0.7772890024802344,2.2697572317271995,0.36567559816982215,0.20605511110105235,0.9345872170439414,0.3275089000120931,0.3395784543325527,0.7665546082235182,2.4333484716367866,0.365468342202951,0.23341285952630053,0.8738348868175766,0.22087310025062784,0.257903981264637,0.7772890024802344,2.2697572317271995,5156912.5,5.951530936374567e-20,6008,1,0.010662761781708134,0.0,5949812.5,0.2102369389477976,6008,1,0.0021122031340624348,0.0
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,117.35416555404663,0.3651706683687836,0.2333966051374685,0.8746671105193076,0.22076074967687,0.24853629976580796,0.7796252817209564,2.2450630486697323,0.3649999667372268,0.2057572906807559,0.9344207723035952,0.32692995400695646,0.33138173302107726,0.7710544215486537,2.4077065917439735,0.3651706683687836,0.2333966051374685,0.8746671105193076,0.22076074967687,0.24853629976580796,0.7796252817209564,2.2450630486697323,5376793.0,1.8828875616265468e-17,6008,1,0.010365087947540751,0.0,6023640.0,0.2933146437942402,6008,1,0.0018145292998950542,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,97.67959856987,0.36230836036700914,0.23089474230567356,0.8726697736351531,0.21910372647063892,0.22745901639344263,0.7903170718749948,2.178789173017706,0.3603341143105537,0.20250699395470598,0.9297603195739015,0.3203805296219034,0.3009367681498829,0.7777867998310941,2.339854572322456,0.36230836036700914,0.23089474230567356,0.8726697736351531,0.21910372647063892,0.22745901639344263,0.7903170718749948,2.178789173017706,5948658.0,4.181756063198647e-08,6008,1,0.007502779945766272,0.0,6113524.5,0.3480785519647337,6008,-1,-0.0010477787018794247,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.5,98.68250489234924,0.35033958824920536,0.22116058569886995,0.8606857523302264,0.2088903568091021,0.18559718969555036,0.7999998949875455,2.072754734665475,0.3472625055847082,0.19243397822362227,0.9231025299600533,0.306696379851818,0.2505854800936768,0.7875699029020495,2.2296896084401063,0.35033958824920536,0.22116058569886995,0.8606857523302264,0.2088903568091021,0.18559718969555036,0.7999998949875455,2.072754734665475,6564291.0,0.08025319552185896,6008,-1,-0.004465992172037535,0.0,5629048.0,3.255722647343978e-15,6008,-1,-0.01301655081968323,0.0
