dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,SLIM,0.0,,,0.0001,0.5,overall,6006,0.3483108591660747,0.20986706221815085,0.8656343656343657,0.3496669984043245,0.31235621614203923,0.922077922077922
ml-1m,SLIM,0.0,,,0.0001,0.5,q1,5944,0.35816900314793676,0.262376603192845,0.8583445491251682,0.3732782406027401,0.3869199962324366,0.9168909825033648
ml-1m,SLIM,0.0,,,0.0001,0.5,q2,4502,0.024367340967346808,0.03967891748005041,0.10350955131052865,0.03841517863478307,0.08175604637171321,0.2003553976010662
ml-1m,SLIM,0.0,,,0.0001,0.5,q3,2861,0.009370383174088,0.018121369484529217,0.029709891646277527,0.013262378584088946,0.030523467264528596,0.05452638937434463
ml-1m,SLIM,0.0,,,0.0001,0.5,q4,1641,0.00280321947168944,0.004722730042656917,0.006093845216331505,0.0037282492740521055,0.007861060329067643,0.010968921389396709
ml-1m,SLIM,0.0,,,0.0001,0.5,q5,685,0.002485135305139081,0.004379562043795621,0.004379562043795621,0.0028923512841918255,0.00583941605839416,0.00583941605839416
ml-1m,SLIM,0.0,,,0.0001,0.9,overall,6006,0.34897304454017475,0.21034826088904177,0.8656343656343657,0.3506509976841068,0.31357786149885913,0.9240759240759241
ml-1m,SLIM,0.0,,,0.0001,0.9,q1,5944,0.3586158467810057,0.2624634629941452,0.8580080753701211,0.3741907018116339,0.3880368760752287,0.9184051144010767
ml-1m,SLIM,0.0,,,0.0001,0.9,q2,4502,0.024846556965154996,0.040864165821137985,0.10550866281652599,0.03873425728369279,0.08260689300956302,0.20124389160373168
ml-1m,SLIM,0.0,,,0.0001,0.9,q3,2861,0.009536185285092176,0.01888450591701203,0.030758476057322615,0.013488391535447671,0.03133903291756367,0.05662355819643481
ml-1m,SLIM,0.0,,,0.0001,0.9,q4,1641,0.002775923999045269,0.004722730042656917,0.006093845216331505,0.003848678689117006,0.008343489742027218,0.01157830591102986
ml-1m,SLIM,0.0,,,0.0001,0.9,q5,685,0.002485135305139081,0.004379562043795621,0.004379562043795621,0.0028923512841918255,0.00583941605839416,0.00583941605839416
ml-1m,SLIM,0.0,,,0.001,0.5,overall,6006,0.35388475083220255,0.21499315026704913,0.872960372960373,0.3547281723529548,0.31801193302146924,0.9270729270729271
ml-1m,SLIM,0.0,,,0.001,0.5,q1,5944,0.36464094368864686,0.2684711801906782,0.8657469717362046,0.37914649306811504,0.39234296340057984,0.919414535666218
ml-1m,SLIM,0.0,,,0.001,0.5,q2,4502,0.025229854752676528,0.04360139902037431,0.10772989782318969,0.03931131834555092,0.0865891293990789,0.20302087960906265
ml-1m,SLIM,0.0,,,0.001,0.5,q3,2861,0.008423229371009427,0.016816048334748087,0.0258650821391122,0.012545444807362294,0.030068586700883103,0.050681579867179305
ml-1m,SLIM,0.0,,,0.001,0.5,q4,1641,0.0026201555073056297,0.004113345521023766,0.005484460694698354,0.004032497808100984,0.00928295754621166,0.01157830591102986
ml-1m,SLIM,0.0,,,0.001,0.5,q5,685,0.0005200104921284995,0.00145985401459854,0.00145985401459854,0.0005200104921284995,0.00145985401459854,0.00145985401459854
