dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_SLIM_stat,wilcoxon_vs_SLIM_p,wilcoxon_vs_SLIM_n_pairs,wilcoxon_vs_SLIM_sign,wilcoxon_vs_SLIM_mean_diff,wilcoxon_vs_SLIM_median_diff,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,SLIM,0.0,,,0.0001,0.5,368.7004551887512,0.344932866787555,0.2162522693230762,0.8528188923998005,0.2058125919458043,0.5067330210772834,0.7917838905364201,2.5895160199559055,0.3439298778641905,0.18983305060329927,0.9118576417761517,0.3039796973152587,0.6490046838407494,0.7930749576488949,2.7329407553973306,0.344932866787555,0.2162522693230762,0.8528188923998005,0.2058125919458043,0.5067330210772834,0.7917838905364201,2.5895160199559055,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.0001,0.9,379.61708760261536,0.3460480208085987,0.21700238938606897,0.8549808747713288,0.20695011978285932,0.5023419203747073,0.7907090581130163,2.5893154762128003,0.3448655045609688,0.19057922406914218,0.9115250291036089,0.30489671703761617,0.6411007025761124,0.7913631500090748,2.7326050994590836,0.3460480208085987,0.21700238938606897,0.8549808747713288,0.20695011978285932,0.5023419203747073,0.7907090581130163,2.5893154762128003,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.001,0.5,348.06892132759094,0.34910693975079343,0.21983244290934773,0.8578080824879428,0.20932598496133029,0.4183255269320843,0.7643159205905283,2.5651364830098684,0.34893522482122036,0.19337664481044642,0.9195077332446366,0.3111461346104189,0.5371779859484778,0.765132983893662,2.707275751278933,0.34910693975079343,0.21983244290934773,0.8578080824879428,0.20932598496133029,0.4183255269320843,0.7643159205905283,2.5651364830098684,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.001,0.9,336.74799823760986,0.34940752074991954,0.22003592527456992,0.8576417761516714,0.2094607478674921,0.39900468384074944,0.7573195469488401,2.558206631985695,0.34951247713353123,0.193891371562992,0.9195077332446366,0.3115766604906235,0.5081967213114754,0.7562260838843029,2.698928794914949,0.34940752074991954,0.22003592527456992,0.8576417761516714,0.2094607478674921,0.39900468384074944,0.7573195469488401,2.558206631985695,,,0,0,,,,,0,0,,
ml-1m,EASE,0.0,,,,,120.7758994102478,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,5906446.0,4.0289316032507177e-07,6013,1,0.007654739116674465,0.0,,,0,0,,
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,57.90080213546753,0.35914656483473645,0.22912486714139182,0.8671212373191418,0.2165903014182171,0.26024590163934425,0.7744317757719168,2.2818237942373703,0.3591632752988856,0.2021226860973011,0.9261599866954932,0.3209663938186358,0.34162763466042156,0.7656624015575506,2.4398216446987373,0.35914656483473645,0.22912486714139182,0.8671212373191418,0.2165903014182171,0.26024590163934425,0.7744317757719168,2.2818237942373703,5075924.0,2.528708863731357e-18,6013,1,0.00973904408481695,0.0,5903680.0,0.16893799995323455,6013,1,0.002084304968142485,0.0
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,57.86362290382385,0.35932562926257444,0.22933064944384166,0.8669549309828705,0.21663238001492957,0.2581967213114754,0.7764823607806668,2.2725124001447434,0.3589873812244337,0.2021209876221075,0.9249958423415933,0.32060397189297263,0.33899297423887587,0.7673847711076203,2.430666305593221,0.35932562926257444,0.22933064944384166,0.8669549309828705,0.21663238001492957,0.2581967213114754,0.7764823607806668,2.2725124001447434,5153962.0,2.950464169115203e-18,6013,1,0.009918108512654934,0.0,5880545.0,0.1645750062433995,6013,1,0.002263369395980468,0.0
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,57.79604363441467,0.35913387371324834,0.22924146583783342,0.8656244802926991,0.216232160999464,0.25234192037470726,0.7819989790102881,2.2469820204661763,0.3579245131476741,0.20134997206929758,0.9246632296690503,0.3193267540163869,0.3284543325526932,0.7700333917035964,2.4062318562932243,0.35913387371324834,0.22924146583783342,0.8656244802926991,0.216232160999464,0.25234192037470726,0.7819989790102881,2.2469820204661763,5348879.0,3.5253752137919023e-15,6013,1,0.009726352963328804,0.0,5887470.5,0.25033512601694097,6013,1,0.0020716138466543407,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,57.90023326873779,0.3552323442545272,0.22651473229959426,0.8613005155496425,0.21215340640043953,0.2300936768149883,0.7916789703733513,2.1813655167995387,0.3524271994539628,0.197521335286836,0.9205055712622651,0.3123667296956102,0.3009367681498829,0.7775669577135402,2.3400824704424275,0.3552323442545272,0.22651473229959426,0.8613005155496425,0.21215340640043953,0.2300936768149883,0.7916789703733513,2.1813655167995387,5930311.0,9.625298305047613e-06,6013,1,0.0058248235046077365,0.0,5870533.5,0.07100324655548207,6013,-1,-0.001829915612066729,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,57.847742795944214,0.3424890848120428,0.21663979142235576,0.8488275403292865,0.20199159392320515,0.1832552693208431,0.7954970832631536,2.0750287564477667,0.33913749205279203,0.1878842417915441,0.910360884749709,0.2978423843190802,0.2520491803278688,0.7877750549380718,2.231717831130388,0.3424890848120428,0.21663979142235576,0.8488275403292865,0.20199159392320515,0.1832552693208431,0.7954970832631536,2.0750287564477667,6242478.0,0.0006854717733147739,6013,-1,-0.006918435937876635,0.0,5370847.5,2.110649220255879e-20,6013,-1,-0.014573175054551097,0.0
