dataset,seed,split_mode,graph_source,kernel,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff,kernel_build_s
ml-1m,0,random,-,EASE,0.0,142.22022700309753,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842,0.39637002341920374,0.7487248661066388,2.5533754562781135,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.3085480093676815,0.757138805438416,2.38695795811389,,,0,0,,,
ml-1m,0,random,rp3beta,laplacian,1.0,138.06249594688416,0.3680365762494111,0.2338993872734649,0.8859853528628495,0.2271523194487268,0.29361826697892274,0.7624052609149912,2.352023164884505,0.3691230156677118,0.20771914879933534,0.9374167776298269,0.33374923721535316,0.38085480093676816,0.7529868834891933,2.5209230465853265,0.3680365762494111,0.2338993872734649,0.8859853528628495,0.2271523194487268,0.29361826697892274,0.7624052609149912,2.352023164884505,2456458.5,9.038611218096042e-24,6008,1,0.004680437180522533,0.0,1.7404556274414062e-05
ml-1m,0,random,rp3beta,laplacian,3.0,137.76157331466675,0.36942735862780124,0.2356839493099232,0.8831557922769641,0.22664020263107287,0.272248243559719,0.7682282046876567,2.303980844096284,0.3700783452858833,0.2088773041546951,0.9357523302263648,0.3335787262332323,0.3556791569086651,0.7580716246650556,2.4716837421691307,0.36942735862780124,0.2356839493099232,0.8831557922769641,0.22664020263107287,0.272248243559719,0.7682282046876567,2.303980844096284,4157262.5,5.687193907716398e-15,6008,1,0.006071219558912697,0.0,1.7404556274414062e-05
ml-1m,0,random,rp3beta,laplacian,10.0,137.69114112854004,0.36585268365298707,0.2336679555649996,0.878994673768309,0.2215880039791899,0.23477751756440282,0.7820284923510132,2.2077527199909914,0.3650218603274392,0.20560033073592165,0.9320905459387483,0.3258685639182625,0.3044496487119438,0.7642692755812763,2.3768459078857913,0.36585268365298707,0.2336679555649996,0.878994673768309,0.2215880039791899,0.23477751756440282,0.7820284923510132,2.2077527199909914,5688620.5,0.029625280958271223,6008,1,0.0024965445840984236,0.0,1.7404556274414062e-05
ml-1m,0,random,rp3beta,reg_laplacian,1.0,143.35946798324585,0.3678900521520704,0.23367854146516326,0.8864846870838882,0.2272895520996844,0.2918618266978923,0.7626879640252315,2.3481226333360206,0.36882536753887646,0.20744263311431008,0.9372503328894807,0.3336649607212792,0.37734192037470726,0.7523761826744584,2.5171446041035237,0.3678900521520704,0.23367854146516326,0.8864846870838882,0.2272895520996844,0.2918618266978923,0.7626879640252315,2.3481226333360206,2462415.0,2.98878170601753e-22,6008,1,0.004533913083181729,0.0,0.06372189521789551
ml-1m,0,random,rp3beta,reg_laplacian,3.0,137.4574453830719,0.36951536231989307,0.23575653820856643,0.8834886817576565,0.22653297779102277,0.2687353629976581,0.7693436347759994,2.294514183724332,0.36990281100874567,0.2087745631708381,0.9362516644474035,0.33346724158827223,0.3521662763466042,0.759201889860347,2.4631579268655224,0.36951536231989307,0.23575653820856643,0.8834886817576565,0.22653297779102277,0.2687353629976581,0.7693436347759994,2.294514183724332,4161197.5,1.2623009982798074e-15,6008,1,0.006159223251004439,0.0,0.06372189521789551
ml-1m,0,random,rp3beta,reg_laplacian,10.0,137.48330116271973,0.3656734545967282,0.2335136516139227,0.8776631158455392,0.22126831021280757,0.22745901639344263,0.7841149167047969,2.1866413696766926,0.36476342415346186,0.20554610971991816,0.931757656458056,0.32534252353039034,0.29918032786885246,0.7695409382402068,2.3537585072975973,0.3656734545967282,0.2335136516139227,0.8776631158455392,0.22126831021280757,0.22745901639344263,0.7841149167047969,2.1866413696766926,5722765.0,0.04868608702617677,6008,1,0.0023173155278395814,0.0,0.06372189521789551
ml-1m,0,random,rp3beta,heat,1.0,137.170156955719,0.3678622162478443,0.2336729852868553,0.886318242343542,0.2272562318268247,0.29215456674473067,0.7630234503627762,2.347773397990305,0.36879428249257,0.20742320787525811,0.9372503328894807,0.33365215712047214,0.37734192037470726,0.7524972909149321,2.516887021899716,0.3678622162478443,0.2336729852868553,0.886318242343542,0.2272562318268247,0.29215456674473067,0.7630234503627762,2.347773397990305,2458799.5,2.6951877844235537e-22,6008,1,0.004506077178955663,0.0,4.388168573379517
ml-1m,0,random,rp3beta,heat,3.0,137.44741702079773,0.36950609373505267,0.23575020681356576,0.8831557922769641,0.22649022222668222,0.26785714285714285,0.7690831896269457,2.29340033084257,0.3698860078429253,0.20875848226742785,0.9362516644474035,0.33334264359287935,0.3521662763466042,0.7595286362433906,2.462247562729854,0.36950609373505267,0.23575020681356576,0.8831557922769641,0.22649022222668222,0.26785714285714285,0.7690831896269457,2.29340033084257,4146759.0,1.7297703867018743e-15,6008,1,0.0061499546661640345,0.0,4.388168573379517
ml-1m,0,random,rp3beta,heat,10.0,136.46995425224304,0.3656061394841003,0.23349240445950287,0.877496671105193,0.22109064283230614,0.22775175644028103,0.7851776893875861,2.184639487380068,0.3648198942346028,0.2055988380225308,0.931757656458056,0.32529883070516447,0.29918032786885246,0.7703432768050948,2.351597274248363,0.3656061394841003,0.23349240445950287,0.877496671105193,0.22109064283230614,0.22775175644028103,0.7851776893875861,2.184639487380068,5732448.5,0.05786601521393587,6008,1,0.0022500004152117077,0.0,4.388168573379517
ml-1m,0,random,rp3beta,p_step_2,1.0,136.0903561115265,0.36782833162257583,0.2334884872523626,0.886318242343542,0.2269686769053707,0.28395784543325525,0.7642948920339891,2.3300951404969132,0.3682820451334969,0.20700775465030202,0.9369174434087882,0.33242757690240504,0.3694379391100703,0.7547868821497381,2.498652784035927,0.36782833162257583,0.2334884872523626,0.886318242343542,0.2269686769053707,0.28395784543325525,0.7642948920339891,2.3300951404969132,2690803.0,4.6545186418855074e-20,6008,1,0.004472192553687188,0.0,0.6795387268066406
ml-1m,0,random,rp3beta,p_step_2,3.0,138.88377571105957,0.3698603801142133,0.23587810189420738,0.8846537949400799,0.22608606725681396,0.25234192037470726,0.7727494817428269,2.254286629963396,0.3693084248641061,0.20841803610520068,0.9355858854860186,0.33158457826428084,0.3357728337236534,0.7647088972912606,2.4221840323419905,0.3698603801142133,0.23587810189420738,0.8846537949400799,0.22608606725681396,0.25234192037470726,0.7727494817428269,2.254286629963396,4311087.5,2.406387295829343e-15,6008,1,0.006504241045324722,0.0,0.6795387268066406
ml-1m,0,random,rp3beta,p_step_2,10.0,137.35199999809265,0.3620614397462545,0.2306638124423587,0.873335552596538,0.21796586040627808,0.20725995316159251,0.7968828755632791,2.111331948582993,0.3607434262276265,0.2024886377652152,0.9302596537949401,0.32109174466912416,0.27634660421545665,0.784300064603128,2.2754852862288812,0.3620614397462545,0.2306638124423587,0.873335552596538,0.21796586040627808,0.20725995316159251,0.7968828755632791,2.111331948582993,5976489.0,0.38762015025271424,6008,-1,-0.0012946993226341046,0.0,0.6795387268066406
