dataset,model,n_fits,median_s,min_s,max_s
ml-1m,SLIM,2,465.1632479429245,420.5159616470337,509.8105342388153
ml-1m,Laplacian-EASE,144,128.44295597076416,112.49776697158812,135.2590537071228
ml-1m,EASE,4,124.34794402122498,113.5941789150238,135.6252243518829
ml-1m,SLIM-Laplacian,10,103.4700254201889,92.15117025375366,169.94910192489624
ml-1m,EDLAE,6,3.1585049629211426,3.0143489837646484,3.3423423767089844
ml-1m,EDLAE-Laplacian,16,3.156415343284607,2.9198861122131348,3.2750813961029053
ml-small,SLIM,1,104.85032939910889,104.85032939910889,104.85032939910889
ml-small,SLIM-Laplacian,4,76.30261611938477,76.08583784103394,76.56852412223816
ml-small,Laplacian-EASE,56,16.838143467903137,16.002721548080444,17.627549409866333
ml-small,EASE,2,16.17364239692688,15.895328283309937,16.451956510543823
ml-small,EDLAE-Laplacian,6,1.9387096166610718,1.9049882888793943,1.9831268787384035
ml-small,EDLAE,3,1.9353411197662356,1.9201419353485107,1.989164352416992
synth,EASE,3,0.0670039653778076,0.0636777877807617,0.0695078372955322
synth,EDLAE,3,0.0012459754943847,0.0011377334594726,0.0015432834625244
synth,EDLAE-Laplacian,3,0.001127004623413,0.0009994506835937,0.0011384487152099
