model,lambda,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
EASE,50,0,overall,600,0.31279141936067034,0.21938142694268217,0.8166666666666667,0.31694882576442235,0.30797555242683977,0.8783333333333333
EASE,50,0,q1,582,0.3436906617160604,0.29312076126713954,0.8367697594501718,0.3635632489766402,0.41000702353435087,0.8969072164948454
EASE,50,0,q2,393,0.006238491013733333,0.011629803614536438,0.02544529262086514,0.014966402820901744,0.03972146928765808,0.08651399491094147
EASE,50,0,q3,288,0.0010036973136037773,0.003472222222222222,0.003472222222222222,0.0020568000611721885,0.006944444444444444,0.010416666666666666
EASE,50,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
EASE,50,0,q5,202,0.0,0.0,0.0,0.0011270804390938268,0.0049504950495049506,0.0049504950495049506
EASE,200,0,overall,600,0.32303164718259436,0.22414293674551752,0.825,0.3274225430538961,0.3128878106288989,0.8766666666666667
EASE,200,0,q1,582,0.3558559996361127,0.3007177110390666,0.8487972508591065,0.3775620718333821,0.4215211263893167,0.9003436426116839
EASE,200,0,q2,393,0.003574486505350569,0.007193188490898414,0.015267175572519083,0.008154324945599097,0.02142111493256531,0.04071246819338423
EASE,200,0,q3,288,0.0,0.0,0.0,0.0005105567384250352,0.001736111111111111,0.003472222222222222
EASE,200,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
EASE,200,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,0,overall,600,0.31664584129142326,0.21647092920063338,0.8016666666666666,0.3214043737119337,0.3086313784504583,0.8866666666666667
EASE,500,0,q1,582,0.34896694780835563,0.2904572891120644,0.8264604810996563,0.3707870152546109,0.4161677467035135,0.9123711340206185
EASE,500,0,q2,393,0.0022727578055870526,0.005089058524173028,0.007633587786259542,0.005562431362723034,0.015022509297318456,0.02544529262086514
EASE,500,0,q3,288,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
EASE,50,1,overall,603,0.30783637230251815,0.2041147148539147,0.7777777777777778,0.3156110208340204,0.304640521582954,0.8640132669983416
EASE,50,1,q1,594,0.33081323992865375,0.2649656347484099,0.7878787878787878,0.35272991865922526,0.3923320749773943,0.8703703703703703
EASE,50,1,q2,398,0.003449687546118861,0.006027775431780753,0.022613065326633167,0.009966249137201217,0.024650099131360327,0.07788944723618091
EASE,50,1,q3,288,0.0014313056273897668,0.004340277777777778,0.006944444444444444,0.0014313056273897668,0.004340277777777778,0.006944444444444444
EASE,50,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
EASE,50,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
EASE,200,1,overall,603,0.3223617581540074,0.21462413935989552,0.7943615257048093,0.32548472024933356,0.3084277059097983,0.8590381426202321
EASE,200,1,q1,594,0.3482750628288998,0.27957449797369255,0.8047138047138047,0.3670401307130659,0.40348695751983504,0.8703703703703703
EASE,200,1,q2,398,0.002578151283301903,0.005473797559224694,0.01256281407035176,0.004795382821783471,0.010716593083256521,0.035175879396984924
EASE,200,1,q3,288,0.00045182876156493247,0.0008680555555555555,0.003472222222222222,0.00045182876156493247,0.0008680555555555555,0.003472222222222222
EASE,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
EASE,200,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,1,overall,603,0.31576836635187727,0.20621458040709606,0.7728026533996684,0.3179639611616761,0.297117841811605,0.8490878938640133
EASE,500,1,q1,594,0.34049114526119895,0.2675635621304033,0.7845117845117845,0.35874321239108437,0.3890537466621083,0.8619528619528619
EASE,500,1,q2,398,0.0006536218228199979,0.0007178750897343861,0.002512562814070352,0.0027999384657933237,0.00723259152907394,0.017587939698492462
EASE,500,1,q3,288,0.00039182340746158077,0.0008680555555555555,0.003472222222222222,0.00039182340746158077,0.0008680555555555555,0.003472222222222222
EASE,500,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
