model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-Matrix,0.3,200,0.3,200,3.6922810077667236,0,0.27807039362881186,0.16960005065297723,0.7666666666666667,0.19762845626319267,0.06191780821917808,0.7526784660766963,1.9867549958352326,0.28391465823072637,0.15522740142319646,0.83,0.27436419526592615,0.09698630136986301,0.7517886064030133,2.1725844532501752,0.27807039362881186,0.16960005065297723,0.7666666666666667,0.19762845626319267,0.06191780821917808,0.7526784660766963,1.9867549958352326,32695.0,4.531506178294393e-16,600,-1,-0.04496125355378256,-0.013168333436822666
Hybrid-Matrix,0.5,200,0.3,200,3.6968681812286377,0,0.28817581300661693,0.1762920705782313,0.79,0.2057855537755896,0.07671232876712329,0.761279761904762,2.0469707586090267,0.2945942821703801,0.16176552125676044,0.8483333333333334,0.28774901026044925,0.11643835616438356,0.7577439215686275,2.2352019294518923,0.28817581300661693,0.1762920705782313,0.79,0.2057855537755896,0.07671232876712329,0.761279761904762,2.0469707586090267,34821.0,1.1082002379288326e-11,600,-1,-0.034855834175977415,-4.8943586239261205e-05
Hybrid-Matrix,0.7,200,0.3,200,3.7025139331817627,0,0.2982510015086037,0.18332470972957082,0.7983333333333333,0.21236007645130806,0.09917808219178083,0.7525764272559854,2.154250010834221,0.30749899959341565,0.1693215000908371,0.8716666666666667,0.30304795946524893,0.15205479452054796,0.7582486486486486,2.3447291514126074,0.2982510015086037,0.18332470972957082,0.7983333333333333,0.21236007645130806,0.09917808219178083,0.7525764272559854,2.154250010834221,35352.0,5.113852101745793e-08,600,-1,-0.024780645673990728,0.0
Hybrid-Matrix,0.3,200,0.6,200,3.7491259574890137,0,0.28642649175164187,0.17358541876627195,0.78,0.1978549652718632,0.1526027397260274,0.7606505086774387,2.4985932835969504,0.29578374742796476,0.15973484532378693,0.8566666666666667,0.29219076751979817,0.23068493150684932,0.772504552652415,2.652703461312719,0.28642649175164187,0.17358541876627195,0.78,0.1978549652718632,0.1526027397260274,0.7606505086774387,2.4985932835969504,36315.5,2.43796119610505e-13,600,-1,-0.03660515543095251,-0.009610772721024341
Hybrid-Matrix,0.5,200,0.6,200,3.5775444507598877,0,0.3008539782484988,0.18358596046443268,0.7983333333333333,0.21019418627217099,0.15835616438356165,0.7435876585928489,2.501334603827165,0.3076870931574657,0.16771131556625493,0.8733333333333333,0.3050139829768324,0.2336986301369863,0.7557217663149667,2.670820224094433,0.3008539782484988,0.18358596046443268,0.7983333333333333,0.21019418627217099,0.15835616438356165,0.7435876585928489,2.501334603827165,41121.5,1.0012913104388282e-06,600,-1,-0.022177668934095573,0.0
Hybrid-Matrix,0.7,200,0.6,200,3.6791276931762695,0,0.30449723381864263,0.18611114759175276,0.8116666666666666,0.21704237422033576,0.17232876712328768,0.711046104928458,2.57724117829964,0.3123305510641006,0.16995092600157258,0.8816666666666667,0.3119803046777064,0.2619178082191781,0.7301014644351465,2.753564263895133,0.30449723381864263,0.18611114759175276,0.8116666666666666,0.21704237422033576,0.17232876712328768,0.711046104928458,2.57724117829964,39612.5,3.097133933741299e-05,600,-1,-0.018534413363951726,0.0
Hybrid-Matrix,0.3,200,0.3,200,3.6275253295898438,1,0.27441131646454625,0.1668246682310293,0.7429519071310116,0.18808168127255925,0.060821917808219175,0.7531770576546697,1.9814287027492046,0.28142325440587873,0.15181855354233523,0.8275290215588723,0.2751440583887743,0.10054794520547945,0.759337734578696,2.1777577396150276,0.27441131646454625,0.1668246682310293,0.7429519071310116,0.18808168127255925,0.060821917808219175,0.7531770576546697,1.9814287027492046,27647.0,2.403026821752507e-18,603,-1,-0.04795044168946114,-0.012624083524051977
Hybrid-Matrix,0.5,200,0.3,200,3.5550272464752197,1,0.2818587421031242,0.17257497836675362,0.7479270315091211,0.19062038655914262,0.07506849315068494,0.759569548849427,2.045751467626681,0.29084863971354413,0.1574751194573267,0.8441127694859039,0.2875098942971491,0.11863013698630137,0.7626467355294351,2.236105609092216,0.2818587421031242,0.17257497836675362,0.7479270315091211,0.19062038655914262,0.07506849315068494,0.759569548849427,2.045751467626681,28539.5,1.3821426310951601e-15,603,-1,-0.04050301605088319,-0.004895737244352161
Hybrid-Matrix,0.7,200,0.3,200,3.578871488571167,1,0.29465920530567197,0.18160891759811842,0.7611940298507462,0.19954898503610233,0.09616438356164383,0.7513930820730157,2.148089167662704,0.3035121465030362,0.1658348950610574,0.8524046434494196,0.2975926180856494,0.14876712328767122,0.7549135843190431,2.3462917289750216,0.29465920530567197,0.18160891759811842,0.7611940298507462,0.19954898503610233,0.09616438356164383,0.7513930820730157,2.148089167662704,27615.5,6.041177859669207e-11,603,-1,-0.02770255284833541,0.0
Hybrid-Matrix,0.3,200,0.6,200,3.671701669692993,1,0.2759192305143111,0.16775322545331628,0.7346600331674958,0.18158095209693054,0.14465753424657535,0.7567183024272577,2.48006848425201,0.2855714968311522,0.1508269993442842,0.8474295190713101,0.2838510050944744,0.22712328767123288,0.774153358659057,2.6411357224354237,0.2759192305143111,0.16775322545331628,0.7346600331674958,0.18158095209693054,0.14465753424657535,0.7567183024272577,2.48006848425201,28891.5,1.105775959534801e-17,603,-1,-0.046442527639696335,-0.007109698644971019
