model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Matrix,0.3,200,0.3,200,0,overall,600,0.27807039362881186,0.19762845626319267,0.7666666666666667,0.28391465823072637,0.27436419526592615,0.83
Hybrid-Matrix,0.3,200,0.3,200,0,q1,582,0.3051451644121047,0.25986720762927623,0.7903780068728522,0.32450512910064017,0.3625112767557447,0.852233676975945
Hybrid-Matrix,0.3,200,0.3,200,0,q2,393,0.001951047839612567,0.004664970313825276,0.007633587786259542,0.004615799963442487,0.014418999151823578,0.020356234096692113
Hybrid-Matrix,0.3,200,0.3,200,0,q3,288,0.0,0.0,0.0,0.0009383269250948603,0.003472222222222222,0.003472222222222222
Hybrid-Matrix,0.3,200,0.3,200,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,200,0.3,200,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.3,200,0,overall,600,0.28817581300661693,0.2057855537755896,0.79,0.2945942821703801,0.28774901026044925,0.8483333333333334
Hybrid-Matrix,0.5,200,0.3,200,0,q1,582,0.3169505757387241,0.27197542342679615,0.8127147766323024,0.3374521770954291,0.38061995538829435,0.872852233676976
Hybrid-Matrix,0.5,200,0.3,200,0,q2,393,0.00257112224545748,0.005937234944868532,0.010178117048346057,0.004840766463809771,0.014418999151823578,0.020356234096692113
Hybrid-Matrix,0.5,200,0.3,200,0,q3,288,0.0,0.0,0.0,0.0013786122939805907,0.005208333333333333,0.006944444444444444
Hybrid-Matrix,0.5,200,0.3,200,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.3,200,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,200,0.3,200,0,overall,600,0.2982510015086037,0.21236007645130806,0.7983333333333333,0.30749899959341565,0.30304795946524893,0.8716666666666667
Hybrid-Matrix,0.7,200,0.3,200,0,q1,582,0.32792443653716613,0.27986923039387157,0.8195876288659794,0.35207175574597216,0.4004297537635577,0.8934707903780069
Hybrid-Matrix,0.7,200,0.3,200,0,q2,393,0.003200134409043042,0.008057675996607293,0.01272264631043257,0.007756362685402482,0.02415671690480851,0.03816793893129771
Hybrid-Matrix,0.7,200,0.3,200,0,q3,288,0.0,0.0,0.0,0.002165718996195581,0.008680555555555556,0.010416666666666666
Hybrid-Matrix,0.7,200,0.3,200,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,200,0.3,200,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,200,0.6,200,0,overall,600,0.28642649175164187,0.1978549652718632,0.78,0.29578374742796476,0.29219076751979817,0.8566666666666667
Hybrid-Matrix,0.3,200,0.6,200,0,q1,582,0.3110064142620197,0.2595242607335508,0.7989690721649485,0.33428174158261736,0.38184956478703397,0.872852233676976
Hybrid-Matrix,0.3,200,0.6,200,0,q2,393,0.008894801264978583,0.017126639264043845,0.030534351145038167,0.015499536468120195,0.038306100508615104,0.0737913486005089
Hybrid-Matrix,0.3,200,0.6,200,0,q3,288,0.005573820291849673,0.008680555555555556,0.010416666666666666,0.009786975842996653,0.024305555555555556,0.027777777777777776
Hybrid-Matrix,0.3,200,0.6,200,0,q4,204,0.0,0.0,0.0,0.0012462581885154204,0.0030637254901960784,0.00980392156862745
Hybrid-Matrix,0.3,200,0.6,200,0,q5,202,0.000539289567414633,0.0006188118811881188,0.0049504950495049506,0.0032269905157464554,0.01067450495049505,0.019801980198019802
