model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-Matrix,0.3,200,0.3,200,overall,0.27624085504667906,0.0025873582757370566,2,0.19285506876787595,0.006750589334339018,2,0.7548092868988392,0.016768867281870145,2,0.2826689563183026,0.0017616885392238858,2,0.27475412682735023,0.0005514465025632571,2,0.8287645107794361,0.0017472456118871234,2,601.5,2.1213203435596424,2
Hybrid-Matrix,0.3,200,0.3,200,q1,0.300696677273533,0.006291110843410336,2,0.2510736157854838,0.012436016847464605,2,0.7722933805408032,0.025575523829233286,2,0.32039554788536917,0.005811825490309949,2,0.35965864992650964,0.004034223550293551,2,0.8461505085216425,0.008602899330274711,2,588.0,8.48528137423857,2
Hybrid-Matrix,0.3,200,0.3,200,q2,0.0009755239198062835,0.0013795991578094097,2,0.002332485156912638,0.003298632142939789,2,0.003816793893129771,0.005397761688446927,2,0.003144326806954499,0.00208097729457326,2,0.01035020309349973,0.005754146568211778,2,0.013946961269451583,0.009064080557232906,2,395.5,3.5355339059327378,2
Hybrid-Matrix,0.3,200,0.3,200,q3,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0006259784598050516,0.00044172743579926944,2,0.002170138888888889,0.0018414239093399675,2,0.003472222222222222,0.0,2,288.0,0.0,2
Hybrid-Matrix,0.3,200,0.3,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Hybrid-Matrix,0.3,200,0.3,200,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Hybrid-Matrix,0.3,200,0.6,200,overall,0.28117286113297646,0.007429755672615112,2,0.18971795868439686,0.011507465073114096,2,0.757330016583748,0.0320601980060369,2,0.2906776221295585,0.00722115164818256,2,0.2880208863071363,0.0058971025644311914,2,0.8520480928689884,0.006531649703497623,2,601.5,2.1213203435596424,2
Hybrid-Matrix,0.3,200,0.6,200,q1,0.3030297272902154,0.011280738898330435,2,0.2470690203475667,0.017614369876475796,2,0.7698549064528446,0.041173648007235074,2,0.3259540253925204,0.011777169179629147,2,0.3736943973327912,0.011533148417213738,2,0.8631937936061647,0.013659096939508968,2,588.0,8.48528137423857,2
Hybrid-Matrix,0.3,200,0.6,200,q2,0.00656392724836129,0.0032963536464832278,2,0.012975260287681171,0.005870936450922629,2,0.02531742682880049,0.007377845121897307,2,0.012157456803320645,0.004726414388490851,2,0.03067208562201372,0.010796127387989787,2,0.06830270947613384,0.007762107888662792,2,395.5,3.5355339059327378,2
Hybrid-Matrix,0.3,200,0.6,200,q3,0.0034646532882722353,0.002982812581769035,2,0.004774305555555556,0.005524271728019903,2,0.006944444444444444,0.004910463758239913,2,0.006853924495406228,0.004147960994899062,2,0.017023533950617283,0.010298333715197595,2,0.024305555555555552,0.004910463758239912,2,288.0,0.0,2
Hybrid-Matrix,0.3,200,0.6,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0006231290942577102,0.0008812376162085165,2,0.0015318627450980392,0.0021663810698117265,2,0.004901960784313725,0.006932419423397525,2,211.5,10.606601717798213,2
Hybrid-Matrix,0.3,200,0.6,200,q5,0.003592001686943207,0.004317186881458026,2,0.0045382616619870945,0.005542939037046166,2,0.009937934091916654,0.007053303935287714,2,0.005786181913872732,0.0036192431839387443,2,0.012385345344235917,0.002419493687884057,2,0.02482636323333826,0.0071055506311046585,2,201.5,0.7071067811865476,2
Hybrid-Matrix,0.5,200,0.3,200,overall,0.2850172775548706,0.0044668436730959426,2,0.1982029701673661,0.010723392576577567,2,0.7689635157545606,0.02975008132454844,2,0.2927214609419621,0.0026485691811289416,2,0.2876294522787992,0.0001690805191394869,2,0.8462230514096186,0.002984389316948203,2,601.5,2.1213203435596424,2
Hybrid-Matrix,0.5,200,0.3,200,q1,0.310743039976587,0.008778781263730318,2,0.25949781761119184,0.017645999370372988,2,0.7859870179457809,0.03779875882631408,2,0.3323064953373087,0.0072770929299895825,2,0.376760490600273,0.005458107446721195,2,0.8648772952896664,0.011278266026422882,2,588.0,8.48528137423857,2
Hybrid-Matrix,0.5,200,0.3,200,q2,0.0013895134108007502,0.0016710472393914157,2,0.0031480862448678626,0.003944451919016234,2,0.0063453399312082045,0.005420365380609604,2,0.003622197272354644,0.0017233170772458573,2,0.01133728134188451,0.004358207122222542,2,0.016459524083521936,0.005510780149260305,2,395.5,3.5355339059327378,2
Hybrid-Matrix,0.5,200,0.3,200,q3,0.00021380415689299477,0.00030236473836981826,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.0009031103038832901,0.0006724613633309997,2,0.003038194444444444,0.003069039848899946,2,0.005208333333333333,0.0024552318791199565,2,288.0,0.0,2
Hybrid-Matrix,0.5,200,0.3,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Hybrid-Matrix,0.5,200,0.3,200,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Hybrid-Matrix,0.5,200,0.6,200,overall,0.29560313892610957,0.0074258081835648065,2,0.20321767390064843,0.009866278413870909,2,0.7739593698175788,0.03446998977276713,2,0.30178166375950216,0.008351538346236781,2,0.29901006102923644,0.008490827845719707,2,0.8628689883913765,0.014798818538265729,2,601.5,2.1213203435596424,2
Hybrid-Matrix,0.5,200,0.6,200,q1,0.31881367234689684,0.012642173479152646,2,0.26606902568972846,0.01916786820409897,2,0.7877225866916588,0.04263405459825169,2,0.3387244651628761,0.0133468141595251,2,0.38894842346920583,0.015326631750168298,2,0.8751345065778056,0.018641660602977672,2,588.0,8.48528137423857,2
Hybrid-Matrix,0.5,200,0.6,200,q2,0.0069465827718677015,0.001804426148678618,2,0.012752042023994044,0.0018653297483550682,2,0.029070287825897937,0.0015280095901968678,2,0.014520485966099044,0.005496678001838393,2,0.0364193883160918,0.014161143139728672,2,0.08476223355965579,0.013272888037923104,2,395.5,3.5355339059327378,2
Hybrid-Matrix,0.5,200,0.6,200,q3,0.002746353104618173,0.0019669827201903747,2,0.004774305555555556,0.005524271728019903,2,0.006944444444444444,0.004910463758239913,2,0.005383525799826606,0.0026313860478580937,2,0.014419367283950615,0.009070717775637617,2,0.020833333333333336,0.004910463758239914,2,288.0,0.0,2
Hybrid-Matrix,0.5,200,0.6,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0006310771145149362,0.0008924778142503015,2,0.0015318627450980392,0.0021663810698117265,2,0.004901960784313725,0.006932419423397525,2,211.5,10.606601717798213,2
Hybrid-Matrix,0.5,200,0.6,200,q5,0.002600673226990874,0.003087618568783494,2,0.0045382616619870945,0.005542939037046166,2,0.009937934091916654,0.007053303935287714,2,0.003946237901637547,0.0014405015406835195,2,0.009649026936275718,0.001450244915624411,2,0.019851238855228805,6.966226108926216e-05,2,201.5,0.7071067811865476,2
Hybrid-Matrix,0.7,200,0.3,200,overall,0.2964551034071378,0.002539783451733103,2,0.20595453074370518,0.009058809614092724,2,0.7797636815920398,0.026261453341082496,2,0.3055055730482259,0.002819130855801825,2,0.30032028877544914,0.003857508883202377,2,0.8620356550580431,0.013620307236288163,2,601.5,2.1213203435596424,2
Hybrid-Matrix,0.7,200,0.3,200,q1,0.32273552849698817,0.0073382241243264736,2,0.26887830137135754,0.015543520886719404,2,0.796157450796626,0.03313527559449613,2,0.34673488928476337,0.007547468930015634,2,0.39423016534844785,0.008767542017779498,2,0.8793953278489361,0.019905710005286306,2,588.0,8.48528137423857,2
Hybrid-Matrix,0.7,200,0.3,200,q2,0.0019063170129227462,0.0018297341088275654,2,0.00438777554317084,0.005190022993809004,2,0.007617604562251461,0.007219619276758578,2,0.005791592904424449,0.0027786040711999496,2,0.017683766444746923,0.009154134329188266,2,0.03039050212896544,0.010998956606357935,2,395.5,3.5355339059327378,2
Hybrid-Matrix,0.7,200,0.3,200,q3,0.00029188808380402337,0.0004127920868107444,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.0013747475819018138,0.0011186025015436736,2,0.004774305555555556,0.005524271728019903,2,0.006944444444444444,0.004910463758239913,2,288.0,0.0,2
Hybrid-Matrix,0.7,200,0.3,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Hybrid-Matrix,0.7,200,0.3,200,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Hybrid-Matrix,0.7,200,0.6,200,overall,0.30110308387369833,0.004800052884868186,2,0.2107137923463646,0.008949966316758571,2,0.7880887230514095,0.03334424763356462,2,0.30796020000629887,0.0061806097382749075,2,0.3066326355980864,0.007562746139481759,2,0.8703524046434494,0.016000782801476734,2,601.5,2.1213203435596424,2
Hybrid-Matrix,0.7,200,0.6,200,q1,0.32285255623126724,0.009180879238262121,2,0.2734852180949128,0.01590598912416987,2,0.8004529834426741,0.03921007612015377,2,0.3433427653246741,0.011008547784507362,2,0.39629776780727766,0.014233205392888838,2,0.8810961852198966,0.019930254653874782,2,588.0,8.48528137423857,2
Hybrid-Matrix,0.7,200,0.6,200,q2,0.010683965969629013,0.0026791255353038196,2,0.0185027249695077,0.004846111217089045,2,0.05822049177183628,0.014823501320282647,2,0.019448050057036308,0.005178105429466417,2,0.044519835674121544,0.014740616900193132,2,0.13024409579705143,0.006527946296580733,2,395.5,3.5355339059327378,2
Hybrid-Matrix,0.7,200,0.6,200,q3,0.0033048365040885793,0.0008474677929964704,2,0.006606867283950617,0.002932638077837726,2,0.010416666666666666,0.0,2,0.006079453888359251,0.0022234243801499743,2,0.015550603072115754,0.009196128548759255,2,0.034722222222222224,0.004910463758239916,2,288.0,0.0,2
