model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,4.292163372039795,0,0.32216071587630185,0.1998023245254892,0.8233333333333334,0.22263365279809932,0.13616438356164384,0.7004621059691483,2.364695836832115,0.3268659843996943,0.18323017777639486,0.8766666666666667,0.31240236548634714,0.19753424657534246,0.7079877484974573,2.550627433010671,0.32216071587630185,0.1998023245254892,0.8233333333333334,0.22263365279809932,0.13616438356164384,0.7004621059691483,2.364695836832115,3272.5,0.279590120339405,600,-1,-0.000870931306292504,0.0
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,4.37778377532959,0,0.3221217842232998,0.20013597778617617,0.8216666666666667,0.22191051369787848,0.13424657534246576,0.7023904761904762,2.354115078760609,0.32611574513459646,0.18316010107638364,0.875,0.30960325208389244,0.19452054794520549,0.7108561032863849,2.537699825935351,0.3221217842232998,0.20013597778617617,0.8216666666666667,0.22191051369787848,0.13424657534246576,0.7023904761904762,2.354115078760609,13967.5,0.43541871190342984,600,-1,-0.0009098629592945961,0.0
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,4.376319169998169,0,0.3198202101455122,0.1986572525615184,0.8166666666666667,0.22072220037056914,0.12438356164383561,0.7069765051395007,2.312427254841931,0.32465589158590263,0.18189193352397046,0.88,0.3117324905489033,0.1841095890410959,0.7178678075396825,2.4987448472655687,0.3198202101455122,0.1986572525615184,0.8166666666666667,0.22072220037056914,0.12438356164383561,0.7069765051395007,2.312427254841931,29440.0,0.049771454973275224,600,-1,-0.0032114370370821765,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,4.404975891113281,0,0.31011472954595215,0.19129631151843451,0.8033333333333333,0.21373483389295264,0.1095890410958904,0.7177566666666668,2.236459054735086,0.31771784479925297,0.1757101360402823,0.8783333333333333,0.30749653302277336,0.16,0.7258784246575343,2.4145698371490454,0.31011472954595215,0.19129631151843451,0.8033333333333333,0.21373483389295264,0.1095890410958904,0.7177566666666668,2.236459054735086,36401.5,1.4615343263283747e-05,600,-1,-0.01291691763664223,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,4.379940032958984,0,0.2962446349227297,0.18138126495968757,0.7883333333333333,0.20308321627087045,0.08356164383561644,0.7163071038251367,2.13065488303222,0.29981087270848067,0.1645411968754675,0.8416666666666667,0.28500862754379325,0.12164383561643835,0.7204084084084084,2.3019555995629806,0.2962446349227297,0.18138126495968757,0.7883333333333333,0.20308321627087045,0.08356164383561644,0.7163071038251367,2.13065488303222,34663.5,4.033690617548347e-10,600,-1,-0.026787012259864726,0.0
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,4.493719577789307,0,0.3221540032808239,0.19981718894347864,0.8233333333333334,0.22263365279809932,0.1358904109589041,0.7004038978494624,2.3642940573522204,0.32681203199728714,0.18324090422712452,0.8766666666666667,0.3122824699497849,0.1978082191780822,0.7083871191135733,2.5506481758581283,0.3221540032808239,0.19981718894347864,0.8233333333333334,0.22263365279809932,0.1358904109589041,0.7004038978494624,2.3642940573522204,3443.0,0.3503421204511915,600,-1,-0.000877643901770499,0.0
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,4.3313188552856445,0,0.3220080448684662,0.2000055545057529,0.82,0.22164732250441438,0.1336986301369863,0.7021516393442624,2.353257706101625,0.32636103925259663,0.18314716685598684,0.8766666666666667,0.31018395114979036,0.19534246575342465,0.7120296867695184,2.5376022343718123,0.3220080448684662,0.2000055545057529,0.82,0.22164732250441438,0.1336986301369863,0.7021516393442624,2.353257706101625,14411.5,0.48562523231091925,600,-1,-0.001023602314128223,0.0
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,4.29444694519043,0,0.31993022150306066,0.19871959246661627,0.8183333333333334,0.22079142161267276,0.1252054794520548,0.7076622902990519,2.313612990788007,0.32450457974854213,0.18164555813250377,0.88,0.3114795440188608,0.18493150684931506,0.7189449382716051,2.4990119772102335,0.31993022150306066,0.19871959246661627,0.8183333333333334,0.22079142161267276,0.1252054794520548,0.7076622902990519,2.313612990788007,29924.0,0.07102946217520492,600,-1,-0.0031014256795337024,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,4.2717039585113525,0,0.31073796419325656,0.1920087343579407,0.8033333333333333,0.2136451744639343,0.11123287671232877,0.7187183908045975,2.239835083332556,0.31692599467339494,0.1751251656928442,0.8783333333333333,0.30687143645266524,0.16164383561643836,0.7273449152542373,2.4158041729866353,0.31073796419325656,0.1920087343579407,0.8033333333333333,0.2136451744639343,0.11123287671232877,0.7187183908045975,2.239835083332556,35792.0,4.354299740742869e-05,600,-1,-0.012293682989337843,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,4.3512444496154785,0,0.29619660733480074,0.18121735927395646,0.7883333333333333,0.2040996729199325,0.08602739726027397,0.7201815286624202,2.134706698121906,0.3005840286756465,0.1648390899734083,0.845,0.2864693427677675,0.1252054794520548,0.7249938001458789,2.3052722365389244,0.29619660733480074,0.18121735927395646,0.7883333333333333,0.2040996729199325,0.08602739726027397,0.7201815286624202,2.134706698121906,34572.0,1.5000470995899763e-10,600,-1,-0.026835039847793625,0.0
