model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,overall,0.32190893079410254,0.00035607787804954377,2,0.21776981187830863,0.006878509793993261,2,0.805530679933665,0.025176753884038477,2,0.3259951090138413,0.0012316037818102085,2,0.3103288536351522,0.002932388581701199,2,0.8695107794361525,0.010119952772205497,2,601.5,2.1213203435596424,2
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,q1,0.35113449612219627,0.0052519059573569735,2,0.2882638627198856,0.015107685317637336,2,0.8233711687319935,0.0335279899719124,2,0.3716064575842739,0.007069187499581938,2,0.41134586997558265,0.011376190715795187,2,0.8870405081745287,0.01881347314309725,2,588.0,8.48528137423857,2
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,q2,0.003086901501964756,0.000689549324597948,2,0.006333493025061554,0.0012157929872971432,2,0.013914994821435421,0.001912272356962353,2,0.006322497351482805,0.0021430085618933214,2,0.015644765797563163,0.006969488690289481,2,0.036671909164141314,0.0021157055864264324,2,395.5,3.5355339059327378,2
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,q3,0.00022591438078246623,0.0003194911812376834,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.00048119274999498384,4.15269506831453e-05,2,0.0013020833333333333,0.0006138079697799891,2,0.003472222222222222,0.0,2,288.0,0.0,2
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,overall,0.32141721689466046,0.000996408671766718,2,0.21616316044641576,0.008127984915967688,2,0.8013805970149254,0.02868883482873778,2,0.3253940400969665,0.0010206450522493495,2,0.3075970086697671,0.0028372566456777914,2,0.865360696517413,0.01363203371690488,2,601.5,2.1213203435596424,2
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,q1,0.35036519131281507,0.006266610370458039,2,0.2853882438508727,0.017009173531843412,2,0.8191450588357805,0.037074691692952896,2,0.37090345376772993,0.006981216229129216,2,0.40782755624034417,0.011268031722089506,2,0.8836561491200667,0.02116975940759478,2,588.0,8.48528137423857,2
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,q2,0.0030493058310410216,0.0007040904833290411,2,0.006333493025061554,0.0012157929872971432,2,0.013914994821435421,0.001912272356962353,2,0.005970694568004345,0.0023702759436844243,2,0.015061605032423521,0.007655798407536222,2,0.03288708171902771,0.0038697520982500615,2,395.5,3.5355339059327378,2
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,q3,0.00022591438078246623,0.0003194911812376834,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.0004765052043635795,3.4897760076970535e-05,2,0.0013020833333333333,0.0006138079697799891,2,0.003472222222222222,0.0,2,288.0,0.0,2
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,overall,0.31917868054419374,0.0009072598628483247,2,0.2145514240596092,0.008726795549330193,2,0.795563847429519,0.02984389316948191,2,0.3230002175793122,0.0023414766349887516,2,0.30600315651689736,0.00810250189142857,2,0.8653731343283582,0.020685511807845225,2,601.5,2.1213203435596424,2
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,q1,0.3476461181478254,0.006460414196137632,2,0.28302835329077647,0.018131994563656162,2,0.8132007358811483,0.03819147320373035,2,0.36794648389002677,0.00835148920615972,2,0.40549974187858334,0.018093546019946925,2,0.8845673227116526,0.029600846197749876,2,588.0,8.48528137423857,2
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,q2,0.0027843209693837207,0.0003718611392686625,2,0.005909404814713802,0.000616041688580818,2,0.013914994821435421,0.001912272356962353,2,0.0053788827547957664,0.002004891277076517,2,0.013617251508640706,0.0060999149574333025,2,0.0291022542739141,0.005623798610073682,2,395.5,3.5355339059327378,2
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,q3,0.00026218683720105075,0.0003707881810454327,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.0005127776607821641,1.639923973077868e-05,2,0.0013020833333333333,0.0006138079697799891,2,0.003472222222222222,0.0,2,288.0,0.0,2
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,overall,0.31156074659857214,0.002044976927237953,2,0.20883886373882166,0.006923947392945932,2,0.7897263681592039,0.019243154691992066,2,0.31715514382630483,0.0007957793475037929,2,0.3011309579677395,0.009002282575132713,2,0.8637106135986733,0.020679648567536887,2,601.5,2.1213203435596424,2
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,q1,0.33950045481056335,0.0025287672142734257,2,0.27602743724384105,0.014016432366643496,2,0.8080287410184317,0.0284963370112667,2,0.3613535164654089,0.00659307007282499,2,0.3996242799359413,0.02028641701913081,2,0.8828664653406921,0.029576301549161396,2,588.0,8.48528137423857,2
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,q2,0.0011137371921784035,0.0003509140763744339,2,0.0015986268431701705,0.0007379567307966846,2,0.006329356707200123,0.0018444612804743269,2,0.003478757659097731,0.001512968702248797,2,0.0088030568682876,0.003997623585939122,2,0.018988070121600368,0.005533383841422982,2,395.5,3.5355339059327378,2
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,q3,0.00021380415689299477,0.00030236473836981826,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.00021380415689299477,0.00030236473836981826,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,288.0,0.0,2
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,overall,0.29770663302854816,0.002067577549412277,2,0.1978421582279552,0.007411975365475305,2,0.770617744610282,0.025053625837563192,2,0.3022167103303095,0.0034023681936577684,2,0.2842637144353145,0.0010534662208000754,2,0.8428897180762853,0.001729655890962105,2,601.5,2.1213203435596424,2
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,q1,0.32437565939649937,0.0015826344376056263,2,0.2611943762281288,0.014199816060067542,2,0.7885122704710333,0.03422751245668511,2,0.3441834629163052,0.0007533698957860172,2,0.3775847353481149,0.007266782271202592,2,0.8622999757020375,0.007633385711028319,2,588.0,8.48528137423857,2
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,q2,0.0004321121578740038,0.00023325270204455217,2,0.0006035569827813488,0.0003459441267182824,2,0.002528546038078433,2.260369216267584e-05,2,0.0006467286038166547,7.026078651585706e-05,2,0.0011688836159471781,0.0004535484650755527,2,0.005041108852148785,0.0035306967158099246,2,395.5,3.5355339059327378,2
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,q3,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,288.0,0.0,2
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
