model,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
RP3beta,0.3,200,0,overall,600,0.2677167695266306,0.19132330281007134,0.74,0.27450675163737087,0.26756282145004223,0.82
RP3beta,0.3,200,0,q1,582,0.2921416019638338,0.2497045224828391,0.7628865979381443,0.3123777085616791,0.3534548042707701,0.8436426116838488
RP3beta,0.3,200,0,q2,393,0.001978361358591236,0.004664970313825276,0.007633587786259542,0.004354882931954301,0.013570822731128071,0.017811704834605598
RP3beta,0.3,200,0,q3,288,0.0010036973136037773,0.003472222222222222,0.003472222222222222,0.0010036973136037773,0.003472222222222222,0.003472222222222222
RP3beta,0.3,200,0,q4,204,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,200,0,q5,202,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.6,200,0,overall,600,0.2667965972065484,0.1770311170320717,0.7383333333333333,0.2789827670347927,0.27755493049304886,0.8433333333333334
RP3beta,0.6,200,0,q1,582,0.28540304943820344,0.22606648676304864,0.7474226804123711,0.3129361246871547,0.3614861141980411,0.8573883161512027
RP3beta,0.6,200,0,q2,393,0.011864746826176584,0.024368761009982382,0.035623409669211195,0.01564321444894384,0.03471766180567259,0.06615776081424936
RP3beta,0.6,200,0,q3,288,0.008861569227905644,0.019097222222222224,0.020833333333333332,0.01231168926613767,0.030526620370370367,0.041666666666666664
RP3beta,0.6,200,0,q4,204,0.0,0.0,0.0,0.001979575889222659,0.006740196078431373,0.014705882352941176
RP3beta,0.6,200,0,q5,202,0.002389497715306192,0.005569306930693069,0.009900990099009901,0.0037704033868464384,0.01051980198019802,0.01485148514851485
RP3beta,0.3,200,1,overall,603,0.2637599331893148,0.1801071048018623,0.7230514096185738,0.26981065798213905,0.26395860101281954,0.8225538971807629
RP3beta,0.3,200,1,q1,594,0.2847776019377229,0.23316846873943445,0.734006734006734,0.3029902343864054,0.34174102541669477,0.835016835016835
RP3beta,0.3,200,1,q2,398,0.0,0.0,0.0,0.001669795147763922,0.00628140703517588,0.007537688442211055
RP3beta,0.3,200,1,q3,288,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,200,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.6,200,1,overall,603,0.25834508091515,0.16962821691753305,0.7164179104477612,0.26668448265549277,0.2653912784704361,0.835820895522388
RP3beta,0.6,200,1,q1,594,0.2745046546729599,0.21835404662360935,0.7188552188552189,0.29533138449293783,0.34215125066687185,0.8400673400673401
RP3beta,0.6,200,1,q2,398,0.003759864131929869,0.006371141421392677,0.01256281407035176,0.006263148977625508,0.012896458063080648,0.035175879396984924
RP3beta,0.6,200,1,q3,288,0.0019709004749171853,0.0026041666666666665,0.006944444444444444,0.00397018989944776,0.009741512345679012,0.020833333333333332
RP3beta,0.6,200,1,q4,219,0.0,0.0,0.0,0.0012737120805987666,0.0045662100456621,0.0045662100456621
RP3beta,0.6,200,1,q5,201,0.010938959897501151,0.018407960199004977,0.024875621890547265,0.011380116837435877,0.019071310116086235,0.03482587064676617
