model,rp3_beta,rp3_topK,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
RP3beta,0.3,200,overall,0.2657383513579727,0.0027979058061613476,2,0.18571520380596682,0.007931049670735671,2,0.7315257048092869,0.011984463190259528,2,0.27215870480975496,0.0033206396687015445,2,0.26576071123143086,0.0025485687120512905,2,0.8212769485903815,0.0018058780149706358,2,601.5,2.1213203435596424,2
RP3beta,0.3,200,q1,0.28845960195077835,0.00520713435512095,2,0.24143649561113678,0.011692755736026622,2,0.7484466659724391,0.020421147625645,2,0.30768397147404225,0.006637946647549659,2,0.3475979148437324,0.008282892461036244,2,0.8393297233503418,0.00609934517424612,2,588.0,8.48528137423857,2
RP3beta,0.3,200,q2,0.000989180679295618,0.0013989127322972938,2,0.002332485156912638,0.003298632142939789,2,0.003816793893129771,0.005397761688446927,2,0.0030123390398591114,0.0018986437802821783,2,0.009926114883151975,0.005154395269495451,2,0.012674696638408325,0.00726482666108393,2,395.5,3.5355339059327378,2
RP3beta,0.3,200,q3,0.0005018486568018886,0.0007097211767079517,2,0.001736111111111111,0.0024552318791199565,2,0.001736111111111111,0.0024552318791199565,2,0.0005018486568018886,0.0007097211767079517,2,0.001736111111111111,0.0024552318791199565,2,0.001736111111111111,0.0024552318791199565,2,288.0,0.0,2
RP3beta,0.3,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
RP3beta,0.3,200,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
RP3beta,0.6,200,overall,0.2625708390608492,0.005976124480956388,2,0.17332966697480237,0.0052346408714369465,2,0.7273756218905472,0.015496544134958871,2,0.27283362484514273,0.008696200281563562,2,0.27147310448174244,0.008601000829182935,2,0.8395771144278608,0.005312095719361719,2,601.5,2.1213203435596424,2
RP3beta,0.6,200,q1,0.27995385205558165,0.007706328842551641,2,0.222210266693329,0.005453518722092837,2,0.733138949633795,0.02020024578834839,2,0.30413375459004627,0.012448431172358127,2,0.3518186824324565,0.013671813116206277,2,0.8487278281092714,0.012247779645669274,2,588.0,8.48528137423857,2
RP3beta,0.6,200,q2,0.007812305479053226,0.005731017513823348,2,0.01536995121568753,0.012726238856307621,2,0.024093111869781476,0.01630630352615416,2,0.010953181713284674,0.006632707902742981,2,0.023807059934376616,0.01542992114004003,2,0.05066682010561714,0.021907498444065164,2,395.5,3.5355339059327378,2
RP3beta,0.6,200,q3,0.005416234851411414,0.00487243860214839,2,0.010850694444444446,0.011662351425819796,2,0.013888888888888888,0.009820927516479826,2,0.008140939582792715,0.005898330767449727,2,0.02013406635802469,0.014697290831954183,2,0.03125,0.01473139127471974,2,288.0,0.0,2
RP3beta,0.6,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0016266439849107128,0.0004991210856721178,2,0.0056532030620467365,0.0015372402659759926,2,0.009636046199301638,0.007169831047486481,2,211.5,10.606601717798213,2
RP3beta,0.6,200,q5,0.006664228806403672,0.006045382684527994,2,0.011988633564849024,0.00907829878732618,2,0.017388305994778582,0.01058866368556773,2,0.007575260112141158,0.005380879983798273,2,0.014795556048142127,0.00604682939225849,2,0.02483867789764051,0.014124023435847744,2,201.5,0.7071067811865476,2
