model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Matrix,0.3,200,0.3,200,overall,593,0.10981723897665185,0.07313210041546028,0.4418212478920742,0.12364369127514935,0.13831790801401553,0.5834738617200674
Hybrid-Matrix,0.3,200,0.3,200,q1,562,0.12308841403572031,0.10530534670146471,0.46619217081850534,0.14688382276367498,0.19453227958846128,0.6120996441281139
Hybrid-Matrix,0.3,200,0.3,200,q2,392,0.0,0.0,0.0,0.0013573771023412786,0.004464285714285714,0.007653061224489796
Hybrid-Matrix,0.3,200,0.3,200,q3,303,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,200,0.3,200,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,200,0.3,200,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.3,200,overall,593,0.1140649079666825,0.07657448653287985,0.45531197301854975,0.12872385247515275,0.1432941759431116,0.6003372681281619
Hybrid-Matrix,0.5,200,0.3,200,q1,562,0.12859014227900187,0.111117622227216,0.4804270462633452,0.15384896329927428,0.20400831761501628,0.6298932384341637
Hybrid-Matrix,0.5,200,0.3,200,q2,392,0.0,0.0,0.0,0.0014023448091610106,0.004464285714285714,0.007653061224489796
Hybrid-Matrix,0.5,200,0.3,200,q3,303,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.3,200,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.3,200,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,200,0.3,200,overall,593,0.11593510137271426,0.0772707762774206,0.4671163575042159,0.1321968502257285,0.14958052606375985,0.6222596964586846
Hybrid-Matrix,0.7,200,0.3,200,q1,562,0.13081162865816742,0.1130140209590686,0.49110320284697506,0.1585251714201397,0.21338556074059892,0.6530249110320284
Hybrid-Matrix,0.7,200,0.3,200,q2,392,0.00035473515181320313,0.0006377551020408163,0.002551020408163265,0.0015766069723613522,0.004549319727891157,0.01020408163265306
Hybrid-Matrix,0.7,200,0.3,200,q3,303,0.00026223458558669114,0.0004714757190004715,0.0033003300330033004,0.00026223458558669114,0.0004714757190004715,0.0033003300330033004
Hybrid-Matrix,0.7,200,0.3,200,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,200,0.3,200,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,200,0.6,200,overall,593,0.11699861704522721,0.07840602092265536,0.46037099494097805,0.12956784643297392,0.1423611554910837,0.6003372681281619
Hybrid-Matrix,0.3,200,0.6,200,q1,562,0.13092261250963513,0.1142256927586297,0.47330960854092524,0.15326932323686593,0.19934758205939723,0.6174377224199288
Hybrid-Matrix,0.3,200,0.6,200,q2,392,0.0014368335965181103,0.0026360544217687073,0.01020408163265306,0.003951272230102913,0.009196966693945749,0.03826530612244898
Hybrid-Matrix,0.3,200,0.6,200,q3,303,0.0036322358199448626,0.007465032217507465,0.013201320132013201,0.0036322358199448626,0.007465032217507465,0.013201320132013201
Hybrid-Matrix,0.3,200,0.6,200,q4,227,0.0003645199176445816,0.0006293266205160478,0.004405286343612335,0.0013726260152279453,0.003272498426683449,0.013215859030837005
Hybrid-Matrix,0.3,200,0.6,200,q5,235,0.002883891715497442,0.0024468085106382977,0.01276595744680851,0.0031665950485739365,0.002978723404255319,0.01276595744680851
Hybrid-Matrix,0.5,200,0.6,200,overall,593,0.1178700864914231,0.0802960780389221,0.47217537942664417,0.13354600421970841,0.1491608930140171,0.6138279932546374
Hybrid-Matrix,0.5,200,0.6,200,q1,562,0.1324403581013023,0.11690403488080466,0.4875444839857651,0.15789826723332134,0.2085984239914968,0.6316725978647687
Hybrid-Matrix,0.5,200,0.6,200,q2,392,0.0013248692481287665,0.0020050125313283208,0.012755102040816327,0.00443120382596122,0.010513622388481629,0.04336734693877551
Hybrid-Matrix,0.5,200,0.6,200,q3,303,0.002355746524922153,0.0036932264655036933,0.009900990099009901,0.004444594863515652,0.010321769504139353,0.019801980198019802
Hybrid-Matrix,0.5,200,0.6,200,q4,227,0.0004036363185231877,0.0006293266205160478,0.004405286343612335,0.0017542036628613626,0.004373820012586532,0.01762114537444934
Hybrid-Matrix,0.5,200,0.6,200,q5,235,0.0025010301437896495,0.0024468085106382977,0.01276595744680851,0.0025010301437896495,0.0024468085106382977,0.01276595744680851
Hybrid-Matrix,0.7,200,0.6,200,overall,593,0.1167844297858832,0.08244333396434132,0.47048903878583476,0.1333902365836295,0.1526129591003937,0.6323777403035413
Hybrid-Matrix,0.7,200,0.6,200,q1,562,0.12932814913275495,0.11895149459258936,0.4822064056939502,0.15727022570917912,0.21396254062497988,0.6494661921708185
Hybrid-Matrix,0.7,200,0.6,200,q2,392,0.004520006835716912,0.0034778941361417307,0.030612244897959183,0.007139680796068285,0.01429442312869113,0.061224489795918366
Hybrid-Matrix,0.7,200,0.6,200,q3,303,0.003068090904112676,0.004006755763383039,0.019801980198019802,0.004641697026526052,0.010146558932889179,0.026402640264026403
Hybrid-Matrix,0.7,200,0.6,200,q4,227,0.0006622670338901826,0.0010698552548772814,0.00881057268722467,0.00209664295599248,0.0051080344031885876,0.01762114537444934
Hybrid-Matrix,0.7,200,0.6,200,q5,235,0.0014992946373999284,0.0019148936170212767,0.00851063829787234,0.0017819979704764228,0.0024468085106382977,0.01276595744680851
