model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Score,0.3,200,0.3,200,overall,593,0.11937337198211624,0.08239438477907539,0.4839797639123103,0.13606089850601852,0.15408425670123,0.6340640809443507
Hybrid-Score,0.3,200,0.3,200,q1,562,0.13604690302929115,0.12226518563026956,0.5088967971530249,0.16382567221350122,0.22018967507426246,0.6654804270462633
Hybrid-Score,0.3,200,0.3,200,q2,392,0.0003319558248232157,0.0006377551020408163,0.002551020408163265,0.0014402946255703966,0.004464285714285714,0.007653061224489796
Hybrid-Score,0.3,200,0.3,200,q3,303,0.0,0.0,0.0,0.0002175537009814487,0.0004714757190004715,0.0033003300330033004
Hybrid-Score,0.3,200,0.3,200,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.3,200,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.3,200,overall,593,0.12189471934223052,0.08397598680320095,0.4924114671163575,0.13785323458185678,0.1570165046638412,0.6374367622259697
Hybrid-Score,0.5,200,0.3,200,q1,562,0.1385234728794044,0.12276877798064981,0.5177935943060499,0.1662372297389347,0.2235917688280999,0.6672597864768683
Hybrid-Score,0.5,200,0.3,200,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.0016595118049443107,0.00510204081632653,0.01020408163265306
Hybrid-Score,0.5,200,0.3,200,q3,303,0.0,0.0,0.0,0.00022679565421971195,0.0004714757190004715,0.0033003300330033004
Hybrid-Score,0.5,200,0.3,200,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.3,200,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.3,200,overall,593,0.12193063434432207,0.08767501292380643,0.4974704890387858,0.13733536565390472,0.15604759532340506,0.6357504215851602
Hybrid-Score,0.7,200,0.3,200,q1,562,0.13914423927041278,0.12870203399423116,0.5231316725978647,0.16601039382081234,0.22315124802088362,0.6672597864768683
Hybrid-Score,0.7,200,0.3,200,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.0016817492779800114,0.00510204081632653,0.01020408163265306
Hybrid-Score,0.7,200,0.3,200,q3,303,0.0,0.0,0.0,0.00023827109251705386,0.0004714757190004715,0.0033003300330033004
Hybrid-Score,0.7,200,0.3,200,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.3,200,q5,235,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,200,0.6,200,overall,593,0.12036629181009388,0.07997180606344349,0.47554806070826305,0.13597241129635945,0.15140725460319138,0.6205733558178752
Hybrid-Score,0.3,200,0.6,200,q1,562,0.13690720474591161,0.11959657385899924,0.498220640569395,0.16250211476170034,0.212934314111289,0.6459074733096085
Hybrid-Score,0.3,200,0.6,200,q2,392,0.0003319558248232157,0.0006377551020408163,0.002551020408163265,0.0024873319828366504,0.006912050534499514,0.017857142857142856
Hybrid-Score,0.3,200,0.6,200,q3,303,0.0011802717961043264,0.000942951438000943,0.0033003300330033004,0.0022275206828594393,0.004164702184504165,0.009900990099009901
Hybrid-Score,0.3,200,0.6,200,q4,227,0.0,0.0,0.0,0.00027568794306389005,0.0006293266205160478,0.004405286343612335
Hybrid-Score,0.3,200,0.6,200,q5,235,0.0011597434094746172,0.0013829787234042553,0.00851063829787234,0.0017043323042932555,0.0024468085106382977,0.01276595744680851
Hybrid-Score,0.5,200,0.6,200,overall,593,0.12137960867853143,0.08205232613481313,0.47892074198988194,0.13698964995359963,0.1528869883028115,0.6239460370994941
Hybrid-Score,0.5,200,0.6,200,q1,562,0.1387975349621847,0.12255341839294899,0.50355871886121,0.16521191148235523,0.21794159676724942,0.6512455516014235
Hybrid-Score,0.5,200,0.6,200,q2,392,0.00031416121012848214,0.0006377551020408163,0.002551020408163265,0.0020594257138609536,0.005413832199546486,0.015306122448979591
Hybrid-Score,0.5,200,0.6,200,q3,303,0.0004535913084394239,0.0004714757190004715,0.0033003300330033004,0.0006803869626591357,0.000942951438000943,0.0033003300330033004
Hybrid-Score,0.5,200,0.6,200,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,200,0.6,200,q5,235,0.0005140906497850817,0.0008510638297872341,0.00425531914893617,0.0007674734872427613,0.0013829787234042553,0.00851063829787234
Hybrid-Score,0.7,200,0.6,200,overall,593,0.12083793747938255,0.0844927046181329,0.49409780775716694,0.13560088313446636,0.15367747434542484,0.6239460370994941
Hybrid-Score,0.7,200,0.6,200,q1,562,0.13815570060871482,0.12654001481553664,0.5195729537366548,0.16345630034728256,0.21805090389593207,0.6530249110320284
Hybrid-Score,0.7,200,0.6,200,q2,392,0.0003319558248232157,0.0006377551020408163,0.002551020408163265,0.0019741088272451006,0.005328798185941042,0.015306122448979591
Hybrid-Score,0.7,200,0.6,200,q3,303,0.0003509461420139599,0.0004714757190004715,0.0033003300330033004,0.0003509461420139599,0.0004714757190004715,0.0033003300330033004
Hybrid-Score,0.7,200,0.6,200,q4,227,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,200,0.6,200,q5,235,0.0,0.0,0.0,0.0003900171401205657,0.0008510638297872341,0.00425531914893617
