model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Laplacian-EASE,200,0.3,200,1,sym,rp3beta,4.210050106048584,0.12236418510699636,0.060212963440950666,0.5008431703204047,0.08753221981432811,0.16145833333333334,0.6838291671080547,2.367528753745162,0.1364743578971155,0.05668249627271729,0.6391231028667791,0.15506791627024166,0.22450657894736842,0.6904831911577274,2.5631041325263317,0.12236418510699636,0.060212963440950666,0.5008431703204047,0.08753221981432811,0.16145833333333334,0.6838291671080547,2.367528753745162,955.0,0.8801531030213325,593,1,7.261302883060836e-05,0.0
Laplacian-EASE,200,0.3,200,3,sym,rp3beta,4.197225093841553,0.12202804640721186,0.059830215047732914,0.4991568296795953,0.08709816786169958,0.15926535087719298,0.6864108808154805,2.3548368996376237,0.1362745364074691,0.05639870579026944,0.6441821247892074,0.15651470028964448,0.22176535087719298,0.69435002928688,2.5465698876739364,0.12202804640721186,0.059830215047732914,0.4991568296795953,0.08709816786169958,0.15926535087719298,0.6864108808154805,2.3548368996376237,4800.5,0.8921246873587776,593,-1,-0.00026352567095387495,0.0
Laplacian-EASE,200,0.3,200,10,sym,rp3beta,4.305322885513306,0.12239393736793382,0.0604603324372657,0.4991568296795953,0.08694668248449623,0.14912280701754385,0.6896042059319512,2.312438825505472,0.13531735916789642,0.05661968667234722,0.6290050590219224,0.15330521890686652,0.20915570175438597,0.7009565507592952,2.495762155503046,0.12239393736793382,0.0604603324372657,0.4991568296795953,0.08694668248449623,0.14912280701754385,0.6896042059319512,2.312438825505472,11906.0,0.9747586968351584,593,1,0.00010236528976808126,0.0
Laplacian-EASE,200,0.3,200,30,sym,rp3beta,4.66286301612854,0.11941033389692689,0.058792372282746086,0.49072512647554806,0.08432506757029924,0.13267543859649122,0.7028026702716264,2.225283519074955,0.13210424433328335,0.05588372021751135,0.6037099494097807,0.1445157037675312,0.18612938596491227,0.7118398994652884,2.4047943012359294,0.11941033389692689,0.058792372282746086,0.49072512647554806,0.08432506757029924,0.13267543859649122,0.7028026702716264,2.225283519074955,16407.5,0.24077808947035473,593,-1,-0.00288123818123886,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,4.370311498641968,0.11519772798468161,0.057243329362848754,0.4772344013490725,0.07897376374403182,0.10389254385964912,0.7079498280288503,2.093714241390404,0.12813217041230407,0.05381109630234153,0.5919055649241147,0.14099098482066666,0.14967105263157895,0.7161258640179382,2.278948532526703,0.11519772798468161,0.057243329362848754,0.4772344013490725,0.07897376374403182,0.10389254385964912,0.7079498280288503,2.093714241390404,17953.5,0.02782986171529756,593,-1,-0.0070938440934841295,0.0
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,4.435584306716919,0.12235929404786486,0.06020774381515769,0.5008431703204047,0.08753221981432811,0.16145833333333334,0.6834838824199705,2.3680208382302115,0.13633016667552977,0.056663606750684804,0.6391231028667791,0.1546240301879717,0.22450657894736842,0.6908126349947599,2.5624828134157656,0.12235929404786486,0.06020774381515769,0.5008431703204047,0.08753221981432811,0.16145833333333334,0.6834838824199705,2.3680208382302115,993.5,0.9209040626101738,593,1,6.77219696991005e-05,0.0
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,4.3373191356658936,0.12238345556903636,0.06003982540489807,0.4991568296795953,0.08859427753358276,0.15953947368421054,0.6860491530629393,2.356258757966104,0.1362395559803271,0.05646761077838916,0.642495784148398,0.15640971731837838,0.22149122807017543,0.6945484029853239,2.5457397028822575,0.12238345556903636,0.06003982540489807,0.4991568296795953,0.08859427753358276,0.15953947368421054,0.6860491530629393,2.356258757966104,4617.0,0.8139969464509176,593,1,9.18834908706313e-05,0.0
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,4.178041458129883,0.12289241681982292,0.06064074411852056,0.5025295109612141,0.08738713607896749,0.14912280701754385,0.6894188324570973,2.312768180924454,0.1352844863088504,0.05652699545923224,0.6306913996627319,0.1525923452972055,0.2118969298245614,0.7033024352678621,2.498157241663889,0.12289241681982292,0.06064074411852056,0.5025295109612141,0.08738713607896749,0.14912280701754385,0.6894188324570973,2.312768180924454,12017.0,0.7074855893837969,593,1,0.0006008447416571834,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,4.27400016784668,0.11980842382492861,0.05931926079094433,0.48903878583473864,0.08474891203946507,0.1337719298245614,0.7034335001244023,2.2278047048073746,0.13280946178052144,0.056084335815286955,0.6070826306913997,0.14527754507050067,0.18667763157894737,0.7125294366730801,2.4042971369135424,0.11980842382492861,0.05931926079094433,0.48903878583473864,0.08474891203946507,0.1337719298245614,0.7034335001244023,2.2278047048073746,16260.0,0.23373411989954618,593,-1,-0.0024831482532371328,0.0
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,4.156361103057861,0.11412827901589637,0.05667156285410923,0.47386172006745364,0.07734820393089362,0.10635964912280702,0.7101919299038613,2.1001150223516887,0.1281263261996673,0.053834219596166105,0.5902192242833052,0.14077966718426663,0.15570175438596492,0.7211638719331164,2.286787222713683,0.11412827901589637,0.05667156285410923,0.47386172006745364,0.07734820393089362,0.10635964912280702,0.7101919299038613,2.1001150223516887,17574.5,0.013707456757354049,593,-1,-0.008163293062269388,0.0
