model,ease_lambda,rp3_beta,rp3_topK,gamma,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-GraphReg,200,0.6,200,0.01,overall,0.34513322072294744,0.0022527393012333947,5,0.21577966309403837,0.0020985810062254077,5,0.8732240206966209,0.005651962546740521,5,0.34801078198374485,0.0027414981572562633,5,0.31784181591233285,0.002833926521072223,5,0.9304214410915332,0.006944963185155484,5,6007.4,3.4351128074635104,5
Hybrid-GraphReg,200,0.6,200,0.01,q1,0.36184770479662154,0.0021106264907138615,5,0.2743529779825069,0.0016848312445099417,5,0.8738641500124883,0.005197116332639258,5,0.37817818018874183,0.002612074481733214,5,0.39845992036982586,0.002571076541121837,5,0.9298803233758954,0.006250623134622331,5,5941.2,4.147288270665454,5
Hybrid-GraphReg,200,0.6,200,0.01,q2,0.017412946481247988,0.0010372325317905891,5,0.03050478811176822,0.001730573904664274,5,0.07819151431416659,0.005235106258569115,5,0.030104333424730817,0.0007412593107387304,5,0.06815231142248837,0.0021515336353667884,5,0.1733959138072902,0.00527688609712225,5,4440.2,45.146428430164846,5
Hybrid-GraphReg,200,0.6,200,0.01,q3,0.0030991250290620005,0.0006206622510306988,5,0.006640594046490103,0.0016216557472256488,5,0.010763958014606403,0.0021113398616221866,5,0.005795750932526546,0.0006557318813478426,5,0.015527446889866056,0.0018528277404117127,5,0.02727871476561774,0.0031321427155338814,5,2896.4,24.795160818191906,5
Hybrid-GraphReg,200,0.6,200,0.01,q4,0.0007192297524250505,0.0003766342725909641,5,0.0013071571491925752,0.0006869501283722963,5,0.0019367290182286361,0.0007731552781488726,5,0.000995568766445636,0.00030431632028637626,5,0.002387791518697281,0.0006924570266301551,5,0.0031563751524899945,0.0005000321682319892,5,1647.8,38.15363678602605,5
Hybrid-GraphReg,200,0.6,200,0.01,q5,9.210653336809599e-05,0.0002059564697829153,5,0.000291970802919708,0.0006528665627736611,5,0.000291970802919708,0.0006528665627736611,5,0.00031511867395157,0.0003482263611447805,5,0.0011707748574291145,0.0012225139268320893,5,0.0011707748574291145,0.0012225139268320893,5,690.4,16.379865689315046,5
Hybrid-GraphReg,200,0.6,200,0.05,overall,0.3447725038214977,0.0023124743252192857,5,0.21566527485004022,0.0021460922877687017,5,0.8734238155022883,0.005623015534558808,5,0.3479237322190625,0.002584382671288118,5,0.3179803485432703,0.0029826828806212642,5,0.9304880025009229,0.006953400332159466,5,6007.4,3.4351128074635104,5
Hybrid-GraphReg,200,0.6,200,0.05,q1,0.3601357938240238,0.0020378297773449247,5,0.2731849130896904,0.0013718093705002378,5,0.8730565789769141,0.005204386440616926,5,0.3765387671662298,0.0023984129447991733,5,0.39704476081040807,0.0028507323981482808,5,0.9291063771053647,0.006448408635931515,5,5941.2,4.147288270665454,5
Hybrid-GraphReg,200,0.6,200,0.05,q2,0.019369835325684842,0.0008315966912242124,5,0.03290549270992909,0.0017387300650283859,5,0.08539097885650766,0.004458489571414149,5,0.032420190420613546,0.0007420447942365167,5,0.07161939452369306,0.0018769115234628351,5,0.18317475281427406,0.005473335507406512,5,4440.2,45.146428430164846,5
Hybrid-GraphReg,200,0.6,200,0.05,q3,0.004045208850277737,0.0007171546361643532,5,0.008155052301946216,0.0014483414390415487,5,0.013951504399701067,0.002326061666979035,5,0.007304388950855084,0.0009689147414972508,5,0.018733985739720984,0.0024356816578934774,5,0.033845815682106074,0.0033664282777927726,5,2896.4,24.795160818191906,5
Hybrid-GraphReg,200,0.6,200,0.05,q4,0.0009621455814304589,0.0003737042958356288,5,0.0018429545911582122,0.0007661515760890972,5,0.002552080955023231,0.0009123721055074707,5,0.0016383754320040051,0.00046163095573568307,5,0.0042559203313813476,0.0013685080621621893,5,0.005593529970944314,0.0010707704958605872,5,1647.8,38.15363678602605,5
Hybrid-GraphReg,200,0.6,200,0.05,q5,0.0008156495765970568,0.00043577966787839844,5,0.0020275982381638717,0.0007904948491200591,5,0.0020275982381638717,0.0007904948491200591,5,0.0009997879512613236,0.0005762275026996447,5,0.0027562521425231285,0.0014838561105645427,5,0.0029064022926732786,0.0014578632126543004,5,690.4,16.379865689315046,5
