model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,train_time_s_mean,train_time_s_std,train_time_s_count,NDCG@10_mean,NDCG@10_std,NDCG@10_count,MAP@10_mean,MAP@10_std,MAP@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,Coverage@10_mean,Coverage@10_std,Coverage@10_count,Gini@10_mean,Gini@10_std,Gini@10_count,Novelty@10_mean,Novelty@10_std,Novelty@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,MAP@20_mean,MAP@20_std,MAP@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,Coverage@20_mean,Coverage@20_std,Coverage@20_count,Gini@20_mean,Gini@20_std,Gini@20_count,Novelty@20_mean,Novelty@20_std,Novelty@20_count,NDCG@k_mean,NDCG@k_std,NDCG@k_count,MAP@k_mean,MAP@k_std,MAP@k_count,HitRate@k_mean,HitRate@k_std,HitRate@k_count,Recall@k_mean,Recall@k_std,Recall@k_count,Coverage@k_mean,Coverage@k_std,Coverage@k_count,Gini@k_mean,Gini@k_std,Gini@k_count,Novelty@k_mean,Novelty@k_std,Novelty@k_count,wilcoxon_vs_EASE_stat_mean,wilcoxon_vs_EASE_stat_std,wilcoxon_vs_EASE_stat_count,wilcoxon_vs_EASE_p_mean,wilcoxon_vs_EASE_p_std,wilcoxon_vs_EASE_p_count,wilcoxon_vs_EASE_n_pairs_mean,wilcoxon_vs_EASE_n_pairs_std,wilcoxon_vs_EASE_n_pairs_count,wilcoxon_vs_EASE_sign_mean,wilcoxon_vs_EASE_sign_std,wilcoxon_vs_EASE_sign_count,wilcoxon_vs_EASE_mean_diff_mean,wilcoxon_vs_EASE_mean_diff_std,wilcoxon_vs_EASE_mean_diff_count,wilcoxon_vs_EASE_median_diff_mean,wilcoxon_vs_EASE_median_diff_std,wilcoxon_vs_EASE_median_diff_count
Hybrid-Matrix,0.3,200,0.3,200,7.145396280288696,1.5359810410617076,5,0.27502944334055157,0.0012411497952312563,5,0.1622899704178227,0.00027759688245750585,5,0.7865317685040472,0.00672855559991463,5,0.1599828809594818,0.0012782711981206417,5,0.0835480093676815,0.002254288443580618,5,0.869543593502567,0.0029038238927587777,5,1.658390735879524,0.0032828514918508637,5,0.269514513383022,0.0018980776675577016,5,0.13810457513271276,0.0008870833643282487,5,0.8676650081327244,0.00523371075392156,5,0.23158290902261697,0.0022452379482488564,5,0.12107728337236534,0.002157158480906387,5,0.8635869194365,0.0023962722964281226,5,1.7872718756470813,0.0026095816839526737,5,0.27502944334055157,0.0012411497952312563,5,0.1622899704178227,0.00027759688245750585,5,0.7865317685040472,0.00672855559991463,5,0.1599828809594818,0.0012782711981206417,5,0.0835480093676815,0.002254288443580618,5,0.869543593502567,0.0029038238927587777,5,1.658390735879524,0.0032828514918508637,5,2588349.6,101642.04132419813,5,1.7538317061629026e-303,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.0910354232936857,0.0015698514020077445,5,-0.0726563558811579,0.0031175583635123876,5
Hybrid-Matrix,0.3,200,0.6,200,7.706365013122559,1.7805425833872033,5,0.32068029210158555,0.0022761327159703825,5,0.1953847125034256,0.0011764949615218517,5,0.8435609165150613,0.005269012281404955,5,0.1950110862036704,0.0022152046910051326,5,0.22757611241217796,0.002235200136864296,5,0.8826099064391982,0.0011105756425946554,5,1.920246794578707,0.003593209175669898,5,0.31847120361408604,0.0026775315119865624,5,0.17038851606341276,0.0014617377307470847,5,0.9113771713510103,0.005659528327873491,5,0.28271640963775563,0.0029530606484465143,5,0.3110655737704918,0.002514839765212487,5,0.8768088238448168,0.0008960173214366413,5,2.0665014417295366,0.002749764159812163,5,0.32068029210158555,0.0022761327159703825,5,0.1953847125034256,0.0011764949615218517,5,0.8435609165150613,0.005269012281404955,5,0.1950110862036704,0.0022152046910051326,5,0.22757611241217796,0.002235200136864296,5,0.8826099064391982,0.0011105756425946554,5,1.920246794578707,0.003593209175669898,5,3759725.7,136057.9219214192,5,7.600730265308093e-122,1.69957495518677e-121,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.04538457453265173,0.0010490426025721517,5,-0.01678199208817811,0.0021992499763762515,5
Hybrid-Matrix,0.3,500,0.3,200,7.022463083267212,1.4925133636685817,5,0.278764868921732,0.001616244104864257,5,0.16492172118912635,0.00046302745521164027,5,0.7917924542380097,0.007223373730895241,5,0.16274486795068666,0.001976878813444047,5,0.08951990632318502,0.0018093134824780392,5,0.8721333035827736,0.0023879484084438417,5,1.6699486030818662,0.0031660081429565976,5,0.2734498123536966,0.0019138072796499098,5,0.14059160879244909,0.0008542469261798582,5,0.8713270040336283,0.004897526565751411,5,0.23565701550115392,0.0024056193901794355,5,0.12903981264637004,0.00129931738999837,5,0.8666258503400537,0.0013435886181661363,5,1.7984241242866275,0.002597501722182232,5,0.278764868921732,0.001616244104864257,5,0.16492172118912635,0.00046302745521164027,5,0.7917924542380097,0.007223373730895241,5,0.16274486795068666,0.001976878813444047,5,0.08951990632318502,0.0018093134824780392,5,0.8721333035827736,0.0023879484084438417,5,1.6699486030818662,0.0031660081429565976,5,2683551.8,92496.5042262409,5,1.599917004293779e-289,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.08729999771250524,0.0013076967863617716,5,-0.06945835878648318,0.0025629649538963855,5
Hybrid-Matrix,0.3,500,0.6,200,7.1005051612854,0.538749546939469,5,0.32431833997472037,0.002697694863822045,5,0.19817195935190948,0.001403654372705086,5,0.846990532201232,0.006521117488783197,5,0.19738516981574125,0.002449697935075126,5,0.23214285714285715,0.0025520485617919666,5,0.8790214130757464,0.001079409981316354,5,1.9383237976825032,0.003705256967873986,5,0.3221433787457244,0.0027250888534072998,5,0.17299863918876351,0.0015077607282256926,5,0.913041962844796,0.0053445300490631295,5,0.2860686008866198,0.0027194418883503507,5,0.3155152224824356,0.0014840505685757375,5,0.8728765404461681,0.0007297344961071487,5,2.084849463127408,0.0024729256292864645,5,0.32431833997472037,0.002697694863822045,5,0.19817195935190948,0.001403654372705086,5,0.846990532201232,0.006521117488783197,5,0.19738516981574125,0.002449697935075126,5,0.23214285714285715,0.0025520485617919666,5,0.8790214130757464,0.001079409981316354,5,1.9383237976825032,0.003705256967873986,5,3876615.0,144592.53400374792,5,1.829814371667256e-106,4.09158932125405e-106,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.04174652665951695,0.001203622412856778,5,-0.013124721743268017,0.002184730534394932,5
Hybrid-Matrix,0.5,200,0.3,200,7.81866865158081,1.4688162303641985,5,0.2902802099311167,0.001564662321003523,5,0.17269135762205112,0.0006875233131947026,5,0.8098697436171012,0.0059727321300408875,5,0.17341895405253713,0.0018598286046284482,5,0.11446135831381735,0.0013730725292223158,5,0.8820780556190183,0.0017999512593197158,5,1.7095886154121813,0.003226045421228646,5,0.2852859752560641,0.0019386262237890263,5,0.14809626449461716,0.0010090273066234966,5,0.8855430621904044,0.0047493984330256,5,0.24891530269969211,0.0021027815189279993,5,0.16088992974238878,0.0018116801459913154,5,0.8774057619258944,0.001062192685714831,5,1.8359660449259507,0.0026678260277807047,5,0.2902802099311167,0.001564662321003523,5,0.17269135762205112,0.0006875233131947026,5,0.8098697436171012,0.0059727321300408875,5,0.17341895405253713,0.0018598286046284482,5,0.11446135831381735,0.0013730725292223158,5,0.8820780556190183,0.0017999512593197158,5,1.7095886154121813,0.003226045421228646,5,2850223.0,97331.04088624554,5,3.35142647055814e-252,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.07578465670312058,0.0012604834806937133,5,-0.05495660363472066,0.004382431643856647,5
Hybrid-Matrix,0.5,200,0.6,200,6.646495151519775,0.4303135129769544,5,0.33146603175401584,0.0024624858174648974,5,0.20328178123075444,0.0012816058719728341,5,0.8564117894756251,0.005865354613236915,5,0.20361847407136313,0.0026718510424350002,5,0.24672131147540982,0.00167400216106508,5,0.8737666896446397,0.0011610943565883028,5,1.9693042810169175,0.0037036414494561816,5,0.32987696708086417,0.002838272337969137,5,0.17807845843033449,0.001581091277162125,5,0.9207325320737079,0.0049111662528825975,5,0.29542115688642945,0.003088778285295375,5,0.3337236533957845,0.0028682549681301756,5,0.8681553260212327,0.0008429691004639752,5,2.1184958618192944,0.0021384099967722806,5,0.33146603175401584,0.0024624858174648974,5,0.20328178123075444,0.0012816058719728341,5,0.8564117894756251,0.005865354613236915,5,0.20361847407136313,0.0026718510424350002,5,0.24672131147540982,0.00167400216106508,5,0.8737666896446397,0.0011610943565883028,5,1.9693042810169175,0.0037036414494561816,5,3908965.7,117124.02735380562,5,1.0334403311938524e-89,2.310842827576077e-89,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.0345988348802214,0.0008421679310158492,5,-0.005349736110681166,0.0013045756077146534,5
Hybrid-Matrix,0.5,500,0.3,200,7.08601450920105,0.9967496389553201,5,0.29806392734190473,0.001666656627926312,5,0.17833687140923762,0.0007732717171666552,5,0.8191580608177127,0.0057928807100596945,5,0.17923687863866483,0.0019485354197198122,5,0.12617096018735363,0.0008534765654047656,5,0.8812975298232393,0.0011520647547529903,5,1.736110220015047,0.003594162315371266,5,0.29277830574153524,0.002178908518103554,5,0.15315375591243088,0.0010786467448240624,5,0.8921684399024393,0.005806310353202417,5,0.2562098639020318,0.002331625050798528,5,0.17576112412177985,0.0029171365733848026,5,0.8774122127257076,0.001843231627662031,5,1.86147371282557,0.0026366370276607776,5,0.29806392734190473,0.001666656627926312,5,0.17833687140923762,0.0007732717171666552,5,0.8191580608177127,0.0057928807100596945,5,0.17923687863866483,0.0019485354197198122,5,0.12617096018735363,0.0008534765654047656,5,0.8812975298232393,0.0011520647547529903,5,1.736110220015047,0.003594162315371266,5,3063003.1,102777.45370666173,5,7.532496788892183e-219,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.06800093929233253,0.0011718388208996026,5,-0.04301162000636749,0.0038547056436936977,5
Hybrid-Matrix,0.5,500,0.6,200,8.933726835250855,2.640210873456301,5,0.33778195645559606,0.002657913336929754,5,0.20842452435145814,0.0014478400303692194,5,0.8612390928797187,0.005776811811966933,5,0.20737945082406065,0.0028239410452023926,5,0.2524590163934426,0.0025318206452505294,5,0.8655528550544946,0.0010028152735961284,5,2.0038572773055305,0.004008734659290245,5,0.33605877524731576,0.0031057129109642164,5,0.18273670671023562,0.0017604594027642807,5,0.9227633191645775,0.005239917161546554,5,0.30063339357746766,0.0032299225414391093,5,0.33957845433255274,0.0031529067957462016,5,0.8595882236219528,0.0007195125356798254,5,2.154241095813645,0.002609576739643077,5,0.33778195645559606,0.002657913336929754,5,0.20842452435145814,0.0014478400303692194,5,0.8612390928797187,0.005776811811966933,5,0.20737945082406065,0.0028239410452023926,5,0.2524590163934426,0.0025318206452505294,5,0.8655528550544946,0.0010028152735961284,5,2.0038572773055305,0.004008734659290245,5,4126351.9,145506.8097836833,5,2.815486711042984e-64,6.295619674838984e-64,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.02828291017864119,0.0010076888638212433,5,-0.0005445795058227135,0.00121771679417283,5
Hybrid-Matrix,0.7,200,0.3,200,7.600356960296631,0.9346783190273923,5,0.31088527781111364,0.0012714566103020394,5,0.1872092510155451,0.0008241705637531319,5,0.8361032708913634,0.0036333224439389533,5,0.19042487641852368,0.0014588246492253122,5,0.1670374707259953,0.0027036884985992627,5,0.8827342755823018,0.001595817378937101,5,1.8073868525533094,0.0032452000686536754,5,0.30700266834141887,0.002532548706654357,5,0.16214068983925417,0.0013625686812331849,5,0.9065174710217574,0.005707445376587738,5,0.27323173750318985,0.00300346069327146,5,0.22353629976580797,0.0021472038431958216,5,0.8776743783461928,0.001432778961208911,5,1.9350182472964792,0.0021999271254955588,5,0.31088527781111364,0.0012714566103020394,5,0.1872092510155451,0.0008241705637531319,5,0.8361032708913634,0.0036333224439389533,5,0.19042487641852368,0.0014588246492253122,5,0.1670374707259953,0.0027036884985992627,5,0.8827342755823018,0.001595817378937101,5,1.8073868525533094,0.0032452000686536754,5,3208586.0,117484.62746195772,5,2.1981327592342386e-169,0.0,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.05517958882312365,0.0015584958509313102,5,-0.02304703040490145,0.0029419085447344464,5
Hybrid-Matrix,0.7,200,0.6,200,7.968147659301758,1.9964425708291555,5,0.34327100662922727,0.002424543163996843,5,0.21240068918168883,0.001453567344453386,5,0.8670651646348422,0.004369473675235559,5,0.21199428427022796,0.002324302537994405,5,0.27412177985948477,0.0030323686563415385,5,0.8596777401913585,0.0013180238010691385,5,2.044966570904962,0.0032154809251780823,5,0.34236092765897475,0.0027143023664883497,5,0.18679305961266637,0.001555906095976154,5,0.9285564453004944,0.006543909264750807,5,0.30879742424444623,0.003162767500873985,5,0.3636416861826698,0.001526745293958465,5,0.8522691034927178,0.0007716355714772272,5,2.203006598274069,0.0024573416254927783,5,0.34327100662922727,0.002424543163996843,5,0.21240068918168883,0.001453567344453386,5,0.8670651646348422,0.004369473675235559,5,0.21199428427022796,0.002324302537994405,5,0.27412177985948477,0.0030323686563415385,5,0.8596777401913585,0.0013180238010691385,5,2.044966570904962,0.0032154809251780823,5,4082831.8,112714.93467571186,5,4.594521444344099e-55,1.0257599615702736e-54,5,6007.4,3.4351128074635104,5,-1.0,0.0,5,-0.022793860005010002,0.0006841269131485912,5,0.0,0.0,5
