model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-Score,0.3,200,0.3,200,9.76065182685852,0,0.35362542344299797,0.2202744463667994,0.8793275632490013,0.22040928212058972,0.2687353629976581,0.8220621959391834,2.142541899860594,0.35307869647767753,0.19445690386898096,0.9349201065246339,0.31995794340569716,0.3533372365339578,0.818329358149366,2.2899494347498894,0.35362542344299797,0.2202744463667994,0.8793275632490013,0.22040928212058972,0.2687353629976581,0.8220621959391834,2.142541899860594,4316570.0,5.588109042781645e-39,6008,-1,-0.015906608580686214,0.0
Hybrid-Score,0.5,200,0.3,200,6.998371839523315,0,0.3569888424068651,0.22374651177387905,0.8806591211717709,0.22058873324601638,0.3015222482435597,0.7927262678887697,2.2769442620289007,0.3592639692546502,0.19928542263400492,0.9354194407456724,0.32550783639936126,0.3940281030444965,0.7879894291514236,2.43573737581349,0.3569888424068651,0.22374651177387905,0.8806591211717709,0.22058873324601638,0.3015222482435597,0.7927262678887697,2.2769442620289007,4448578.0,1.1494214473977295e-33,6008,-1,-0.012543189616818995,0.0
Hybrid-Score,0.7,200,0.3,200,7.776073455810547,0,0.355073239070859,0.22194230368054652,0.8816577896138482,0.21999269911764657,0.32142857142857145,0.7700554088173874,2.369645513326753,0.35788507381278956,0.19828672375685313,0.9357523302263648,0.3239538131405643,0.4177400468384075,0.7660264473344114,2.532631445769968,0.355073239070859,0.22194230368054652,0.8816577896138482,0.21999269911764657,0.32142857142857145,0.7700554088173874,2.369645513326753,4431888.5,4.2193982079357986e-42,6008,-1,-0.014458792952825155,0.0
Hybrid-Score,0.3,200,0.6,200,8.198083639144897,0,0.3590755688035744,0.2249535513704915,0.8846537949400799,0.22376977032234247,0.29215456674473067,0.8220468566960819,2.1843847991076752,0.35884502954490016,0.19899111280979176,0.9385818908122503,0.3252191751675159,0.38934426229508196,0.8185648083257411,2.3432431353364525,0.3590755688035744,0.2249535513704915,0.8846537949400799,0.22376977032234247,0.29215456674473067,0.8220468566960819,2.1843847991076752,4435984.5,2.5370769417972803e-22,6008,-1,-0.01045646322010976,0.0
Hybrid-Score,0.5,200,0.6,200,9.795677185058594,0,0.3607237440962524,0.22713509370557908,0.8826564580559254,0.22277188950557655,0.30971896955503514,0.7930706443079045,2.290667105383036,0.3625522945129319,0.20228998685288407,0.9370838881491345,0.3279121107061633,0.40837236533957844,0.7894700852865237,2.4542442047572024,0.3607237440962524,0.22713509370557908,0.8826564580559254,0.22277188950557655,0.30971896955503514,0.7930706443079045,2.290667105383036,4526735.5,9.228259274443467e-21,6008,-1,-0.008808287927431694,0.0
Hybrid-Score,0.7,200,0.6,200,7.110911846160889,0,0.3572777736153289,0.22415320795397853,0.881491344873502,0.22099467420305755,0.3246487119437939,0.7710803389289183,2.3726873445380936,0.3596389108154703,0.19986970635406362,0.9354194407456724,0.3253349871778805,0.42330210772833726,0.7675308670965224,2.5376509254367874,0.3572777736153289,0.22415320795397853,0.881491344873502,0.22099467420305755,0.3246487119437939,0.7710803389289183,2.3726873445380936,4505631.0,1.6494800270365542e-33,6008,-1,-0.01225425840835525,0.0
Hybrid-Score,0.3,500,0.3,200,6.720024585723877,0,0.36097192872470996,0.22656068130604562,0.8824900133155792,0.22427317945272013,0.24092505854800936,0.8218510192161765,2.1042129789324058,0.35874812865704847,0.19893760368643734,0.9347536617842876,0.3242895055012771,0.319672131147541,0.815083795476605,2.256826299828905,0.36097192872470996,0.22656068130604562,0.8824900133155792,0.22427317945272013,0.24092505854800936,0.8218510192161765,2.1042129789324058,3812687.0,8.148844955618191e-17,6008,-1,-0.00856010329897413,0.0
Hybrid-Score,0.5,500,0.3,200,7.517373323440552,0,0.36692876057979706,0.23276202342559799,0.8846537949400799,0.22622221907301052,0.27137002341920374,0.7968067747139018,2.224026325528234,0.3674936509565033,0.20635475331255915,0.9375832223701731,0.3315893770692406,0.3597775175644028,0.7900849585960246,2.3870052229695338,0.36692876057979706,0.23276202342559799,0.8846537949400799,0.22622221907301052,0.27137002341920374,0.7968067747139018,2.224026325528234,3654523.0,6.454557947595875e-05,6008,-1,-0.00260327144388704,0.0
Hybrid-Score,0.7,500,0.3,200,7.392707109451294,0,0.36734396763965277,0.23336721434178295,0.8849866844207723,0.22654058644071384,0.2886416861826698,0.7776309072690097,2.303091850380557,0.3685385350648437,0.20740316254600996,0.936750998668442,0.33242315099617736,0.37617096018735363,0.7689540664328236,2.4690732359088208,0.36734396763965277,0.23336721434178295,0.8849866844207723,0.22654058644071384,0.2886416861826698,0.7776309072690097,2.303091850380557,3530450.0,5.981126433357035e-05,6008,-1,-0.0021880643840314143,0.0
Hybrid-Score,0.3,500,0.6,200,7.259236574172974,0,0.36267767651839183,0.22862550371655296,0.8821571238348869,0.2247442283550358,0.2696135831381733,0.8246238095857712,2.149342006518079,0.3619082240217901,0.2017680137745218,0.9365845539280959,0.3266510868483954,0.36007025761124123,0.817680883483269,2.311434508919817,0.36267767651839183,0.22862550371655296,0.8821571238348869,0.2247442283550358,0.2696135831381733,0.8246238095857712,2.149342006518079,3949416.0,3.152024512947232e-12,6008,-1,-0.006854355505292296,0.0
Hybrid-Score,0.5,500,0.6,200,6.93132758140564,0,0.36808007383242897,0.23378358069290497,0.8861517976031957,0.22780670472838263,0.28044496487119436,0.7965420844580227,2.2411379195585446,0.36813653830656384,0.207055192837287,0.9369174434087882,0.332136543710437,0.373536299765808,0.7904189659346577,2.4081383267896146,0.36808007383242897,0.23378358069290497,0.8861517976031957,0.22780670472838263,0.28044496487119436,0.7965420844580227,2.2411379195585446,3576811.5,0.0043581294880711335,6008,-1,-0.0014519581912551668,0.0
Hybrid-Score,0.7,500,0.6,200,9.1383535861969,0,0.36833330711149853,0.23440205704668066,0.8859853528628495,0.22737804356058972,0.29069086651053866,0.7767911666619733,2.309086308048302,0.36920498566488924,0.20796083226396783,0.9374167776298269,0.33350232862429896,0.3864168618266979,0.7723638557680668,2.4764995368528218,0.36833330711149853,0.23440205704668066,0.8859853528628495,0.22737804356058972,0.29069086651053866,0.7767911666619733,2.309086308048302,3387497.0,0.0024037119943242763,6008,-1,-0.0011987249121856835,0.0
Hybrid-Score,0.3,200,0.3,200,11.451555013656616,1,0.3515368213982886,0.21883712604163283,0.8717948717948718,0.2171648471945643,0.2687353629976581,0.8279181239965554,2.1244616371425025,0.3497563555817985,0.19223936702392308,0.9307359307359307,0.31474286486391273,0.35362997658079626,0.822240494053408,2.278483678189639,0.3515368213982886,0.21883712604163283,0.8717948717948718,0.2171648471945643,0.2687353629976581,0.8279181239965554,2.1244616371425025,4199932.5,2.563684223987077e-39,6006,-1,-0.015052765134889833,0.0
Hybrid-Score,0.5,200,0.3,200,14.541504621505737,1,0.3555609481385173,0.22270884431244406,0.8741258741258742,0.21836378215075336,0.303864168618267,0.798532071653459,2.264025327061367,0.3562850836900951,0.19745824389527888,0.9309024309024309,0.32050916882842073,0.39959016393442626,0.7932793458068184,2.428590033389972,0.3555609481385173,0.22270884431244406,0.8741258741258742,0.21836378215075336,0.303864168618267,0.798532071653459,2.264025327061367,4369388.0,5.941444446658699e-32,6006,-1,-0.011028638394661183,0.0
Hybrid-Score,0.7,200,0.3,200,16.276538610458374,1,0.35436176399262925,0.2215207727310902,0.8742923742923743,0.21805830637046672,0.3225995316159251,0.7744401696307324,2.3609133389643278,0.35585955171582523,0.19705682290868362,0.9310689310689311,0.3201124155212589,0.4189110070257611,0.7685841063199552,2.5273683504009554,0.35436176399262925,0.2215207727310902,0.8742923742923743,0.21805830637046672,0.3225995316159251,0.7744401696307324,2.3609133389643278,4418388.5,5.792643547595484e-38,6006,-1,-0.01222782254054927,0.0
Hybrid-Score,0.3,200,0.6,200,15.98297381401062,1,0.3564734957463608,0.22361202436599262,0.872960372960373,0.21895970787712118,0.29098360655737704,0.8279419105374839,2.165286662795583,0.35561839534284273,0.19702911414205565,0.9315684315684316,0.3193392229725241,0.3864168618266979,0.8217350074168257,2.3292058756026313,0.3564734957463608,0.22361202436599262,0.872960372960373,0.21895970787712118,0.29098360655737704,0.8279419105374839,2.165286662795583,4359452.0,1.6089865430872952e-22,6006,-1,-0.010116090786817699,0.0
Hybrid-Score,0.5,200,0.6,200,7.268283128738403,1,0.3602974746517652,0.2273414850980044,0.8741258741258742,0.22037089002414414,0.3126463700234192,0.8007083428431743,2.2743989924096795,0.3599080184298071,0.20062317996379087,0.932067932067932,0.32287007838056053,0.40954332552693207,0.79380311135136,2.4433108862759902,0.3602974746517652,0.2273414850980044,0.8741258741258742,0.22037089002414414,0.3126463700234192,0.8007083428431743,2.2743989924096795,4587226.0,1.8293764078394098e-15,6006,-1,-0.006292111881413278,0.0
Hybrid-Score,0.7,200,0.6,200,15.258756637573242,1,0.35780426335629767,0.22479895527018542,0.875957375957376,0.2199659009982805,0.3269906323185012,0.777393987689422,2.360670581310777,0.3584936907548403,0.1994719611769102,0.9324009324009324,0.32221193163061296,0.4265222482435597,0.7717099875644831,2.5305063842120026,0.35780426335629767,0.22479895527018542,0.875957375957376,0.2199659009982805,0.3269906323185012,0.777393987689422,2.360670581310777,4639114.5,3.343933597368811e-24,6006,-1,-0.008785323176880848,0.0
Hybrid-Score,0.3,500,0.3,200,11.649577856063843,1,0.3569553080808185,0.22417149966540553,0.8722943722943723,0.21873490243551472,0.24033957845433254,0.8259594242541868,2.0895431351061613,0.35480650771084316,0.19642413509275503,0.9312354312354313,0.31800633477906604,0.32289227166276346,0.8212433230112288,2.2434289183298106,0.3569553080808185,0.22417149966540553,0.8722943722943723,0.21873490243551472,0.24033957845433254,0.8259594242541868,2.0895431351061613,3721658.5,1.363580388086515e-21,6006,-1,-0.009634278452360066,0.0
