model,lambda,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
EASE,100,overall,5957,0.10692106992139593,0.08641180715099708,0.5019305019305019,0.12256389134469238,0.14512138342310452,0.6750041967433271
EASE,100,q1,5787,0.11612663786366764,0.11618284296277995,0.5009504060825989,0.13769168990871153,0.19011255956117817,0.6706410921029895
EASE,100,q2,4520,0.009755115005013802,0.018229681208522506,0.0413716814159292,0.016359766204214008,0.038871936695157115,0.09424778761061947
EASE,100,q3,3059,0.002633425252488418,0.005339435545385201,0.008172605426610004,0.004572662887245167,0.011888792445882321,0.01896044458973521
EASE,100,q4,1767,0.00016359073362642211,0.0005659309564233164,0.0005659309564233164,0.00016359073362642211,0.0005659309564233164,0.0005659309564233164
EASE,100,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
EASE,200,overall,5957,0.10958102936037213,0.0878229728910814,0.5032734597951989,0.12583872147676903,0.14941370480721639,0.6770186335403726
EASE,200,q1,5787,0.11978746385866107,0.11948184125897135,0.505443234836703,0.14252562692700788,0.19772432788909608,0.6747883186452394
EASE,200,q2,4520,0.008656124603129879,0.015777587157688556,0.03650442477876106,0.015244940807044175,0.037095380500764004,0.08628318584070796
EASE,200,q3,3059,0.0019736485141513007,0.004249754821837201,0.006864988558352402,0.00370785782710354,0.010183066361556064,0.015364498202026806
EASE,200,q4,1767,0.0,0.0,0.0,0.00023954910018893666,0.0008488964346349745,0.0011318619128466328
EASE,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
EASE,500,overall,5957,0.11328379740943686,0.08900295108885321,0.5066308544569414,0.12998526618389683,0.1536942111527436,0.6822225952660735
EASE,500,q1,5787,0.12504748984501393,0.12342798033846346,0.5114912735441507,0.14918215057341186,0.2074152043009652,0.6860203905304993
EASE,500,q2,4520,0.006831619305343441,0.012777773380240713,0.028982300884955754,0.012396876454437745,0.030764446374546176,0.07079646017699115
EASE,500,q3,3059,0.0015441454207016118,0.003623188405797101,0.005884275907159202,0.0027273065340833384,0.0076659038901601825,0.011114743380189604
EASE,500,q4,1767,0.0,0.0,0.0,0.00022177074242557679,0.0008488964346349745,0.0011318619128466328
EASE,500,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
EASE,1000,overall,5957,0.11593558574324843,0.09031534844714288,0.5128420345811651,0.13208107722021212,0.1548718089686952,0.6839012925969448
EASE,1000,q1,5787,0.12887949219676118,0.12637818622864014,0.52099533437014,0.1530976788174511,0.21169836320107244,0.6908588214964576
EASE,1000,q2,4520,0.0050749928279382505,0.009332434480351162,0.02079646017699115,0.009815849606446452,0.0247221227056768,0.05398230088495575
EASE,1000,q3,3059,0.0008582770027133517,0.0021521194290073007,0.0032690421706440013,0.0018126863219771912,0.005339435545385201,0.008172605426610004
EASE,1000,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
EASE,1000,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
