model,ease_lambda,rp3_beta,rp3_topK,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,200,0.6,200,0.01,overall,5957,0.10954912258759357,0.08789124610073953,0.5026019808628505,0.1257741688123598,0.14942911471593748,0.677522242739634
Hybrid-GraphReg,200,0.6,200,0.01,q1,5787,0.11953438090200709,0.11939753284460573,0.5042336270952134,0.14230134254422494,0.19770872497055747,0.6751339208570935
Hybrid-GraphReg,200,0.6,200,0.01,q2,4520,0.008927810399053122,0.01634420466014676,0.037831858407079644,0.015299952802228995,0.036857571807311015,0.08650442477876107
Hybrid-GraphReg,200,0.6,200,0.01,q3,3059,0.002162833916383428,0.004658385093167702,0.007191892775416803,0.003888895827782673,0.010477280156914024,0.016018306636155607
Hybrid-GraphReg,200,0.6,200,0.01,q4,1767,0.0,0.0,0.0,0.00024107712864603284,0.0008488964346349745,0.0011318619128466328
Hybrid-GraphReg,200,0.6,200,0.01,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,200,0.6,200,0.05,overall,5957,0.1090386367231156,0.08750393124388683,0.5002518045996307,0.1253452067342175,0.14904458863777448,0.677522242739634
Hybrid-GraphReg,200,0.6,200,0.05,q1,5787,0.11856336568601429,0.11828155394554822,0.5014688094003802,0.1411552798223798,0.1961713034204215,0.6737515120096769
Hybrid-GraphReg,200,0.6,200,0.05,q2,4520,0.009279986931914088,0.01683755772553687,0.03893805309734513,0.015749269749104206,0.037515962205082645,0.08938053097345133
Hybrid-GraphReg,200,0.6,200,0.05,q3,3059,0.0025624809575817745,0.004680554459612299,0.008172605426610004,0.0049176883376249305,0.01274542784009657,0.020594965675057208
Hybrid-GraphReg,200,0.6,200,0.05,q4,1767,5.548346679759878e-05,0.00011318619128466328,0.0005659309564233164,0.0004600544152094149,0.0015280135823429542,0.0022637238256932655
Hybrid-GraphReg,200,0.6,200,0.05,q5,775,0.0,0.0,0.0,0.00039752666549112037,0.0012903225806451613,0.0025806451612903226
Hybrid-GraphReg,200,0.6,200,0.1,overall,5957,0.10815302599780158,0.08672670174872084,0.49639080073862685,0.12451142799404434,0.14817574554706503,0.6723182810139332
Hybrid-GraphReg,200,0.6,200,0.1,q1,5787,0.1166668234246711,0.11639329621746915,0.49628477622256784,0.13933144556907617,0.19428996829197992,0.6677034733022291
Hybrid-GraphReg,200,0.6,200,0.1,q2,4520,0.009798677352312416,0.017199469415735063,0.04225663716814159,0.016387777608594657,0.03839282383838323,0.09380530973451327
Hybrid-GraphReg,200,0.6,200,0.1,q3,3059,0.0031017178659166617,0.0055308811759533765,0.009153318077803204,0.005607563769087023,0.01396981756329543,0.02353710362863681
Hybrid-GraphReg,200,0.6,200,0.1,q4,1767,0.0004755281274519343,0.001358234295415959,0.001697792869269949,0.0009518097711227715,0.002961705338615355,0.004527447651386531
Hybrid-GraphReg,200,0.6,200,0.1,q5,775,0.001126437016459045,0.002013685239491691,0.003870967741935484,0.0012059554640452804,0.0026588465298142717,0.005161290322580645
Hybrid-GraphReg,200,0.6,200,0.3,overall,5957,0.10181091402343097,0.08235424859371145,0.47473560517038776,0.11790018863138785,0.14134453305489192,0.6464663421185161
Hybrid-GraphReg,200,0.6,200,0.3,q1,5787,0.10726500722606329,0.10686374438948652,0.4658717815794021,0.12906875756397276,0.18090242058275766,0.6343528598583031
Hybrid-GraphReg,200,0.6,200,0.3,q2,4520,0.010811226798235249,0.01826746186254452,0.050221238938053095,0.017014278923850937,0.03801799622696459,0.1
Hybrid-GraphReg,200,0.6,200,0.3,q3,3059,0.00435256814146954,0.008308756725928375,0.015037593984962405,0.00756841517077799,0.018801191996604228,0.03628636809414842
Hybrid-GraphReg,200,0.6,200,0.3,q4,1767,0.002748138316725929,0.006457002721858409,0.010186757215619695,0.004797366554869879,0.013400436575309241,0.02037351443123939
Hybrid-GraphReg,200,0.6,200,0.3,q5,775,0.003945322296261302,0.00785923753665689,0.012903225806451613,0.004825182115478291,0.011808406647116326,0.016774193548387096
Hybrid-GraphReg,200,0.6,200,0.5,overall,5957,0.09352991299087113,0.0767326535729616,0.45022662413966763,0.10953390936775556,0.13389210706469556,0.6238039281517542
