model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,overall,5957,0.11449942083355186,0.08909630114316339,0.5067987241900286,0.13128728869337974,0.15457997399628723,0.6822225952660735
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,q1,5787,0.1268676750563229,0.12392573400292313,0.5130464834974944,0.15137400899173073,0.20962802230965902,0.6875756004838431
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,q2,4520,0.00602363100356592,0.011552407093313993,0.024336283185840708,0.011218912011971468,0.02799338686204965,0.06305309734513274
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,q3,3059,0.0010765158898784748,0.0026424757546039007,0.003922850604772802,0.002361740203344878,0.007001198648795902,0.009807126511932003
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.00013094409346902045,0.0005659309564233164,0.0005659309564233164
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,overall,5957,0.11650521173005894,0.09046726992996175,0.5133456437804264,0.13246559141359446,0.15496283708385739,0.6823904649991607
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,q1,5787,0.1295356565682116,0.1267888688613868,0.5215137376879212,0.15349536704433123,0.21155530484244195,0.6889580093312597
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,q2,4520,0.0049411362243069875,0.00904136194894328,0.020575221238938055,0.009750857879337969,0.024650404207248233,0.05398230088495575
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,q3,3059,0.0009256724705747777,0.002315571537539501,0.0035959463877084014,0.0017793928372988061,0.005230467473030402,0.007845701209545603
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,overall,5957,0.11856521536932627,0.08949306569806363,0.511499076716468,0.1337298019790517,0.15341116939781668,0.6785294611381568
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,q1,5787,0.13236115314549465,0.1260106704219726,0.5230689476412649,0.1562310560582275,0.21181561707965416,0.6898220148608951
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,q2,4520,0.003176615795062957,0.0059271050518413465,0.011504424778761062,0.006740813895846933,0.01755098107148543,0.03672566371681416
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,q3,3059,0.0004058443400135528,0.0010079546692819002,0.001961425302386401,0.0009595393318683585,0.0030238640078457013,0.004576659038901602
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,overall,5957,0.12095267818016919,0.08844369806657888,0.5135135135135135,0.13397610015589853,0.14799836611797287,0.6745005875440658
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,q1,5787,0.13501231937395436,0.12474105081502165,0.5263521686538793,0.15759229789478071,0.20816624042931303,0.6906860203905305
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,q2,4520,0.0014799298755594618,0.003095780817019755,0.006194690265486726,0.00299074200116399,0.007858265546318643,0.015265486725663717
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,q3,3059,0.00010757710920226171,0.0002724201808870001,0.0006538084341288003,0.00023731762547694028,0.0006810504522175002,0.0016345210853220007
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
