model,rp3_beta,rp3_topK,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
RP3beta,0.3,200,overall,5957,0.11198981065824969,0.06953204438414508,0.4722175591740809,0.11834687200298136,0.11406500219051108,0.6091992613731744
RP3beta,0.3,200,q1,5787,0.1215370612900266,0.09351390597567036,0.4857439087610161,0.13514551166644254,0.15554725238606773,0.6267496111975117
RP3beta,0.3,200,q2,4520,0.0003000458378557571,0.0004424778761061947,0.0004424778761061947,0.00033395884630517403,0.0005530973451327434,0.000663716814159292
RP3beta,0.3,200,q3,3059,0.00016345210853220007,0.00032690421706440013,0.00032690421706440013,0.0001983788179999314,0.00043587228941920016,0.0006538084341288003
RP3beta,0.3,200,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,500,overall,5957,0.1124400066841575,0.07055404614734538,0.47641430250125905,0.1191459807689016,0.11604026982671634,0.6117173073694813
RP3beta,0.3,500,q1,5787,0.12228049230073915,0.09562135484462482,0.49006393640919305,0.13626809564045433,0.1587410112254952,0.6293416277864178
RP3beta,0.3,500,q2,4520,0.0003068258423085269,0.0004424778761061947,0.0004424778761061947,0.0003903827099645648,0.0007743362831858407,0.0008849557522123894
RP3beta,0.3,500,q3,3059,0.00014078998302497321,0.00032690421706440013,0.00032690421706440013,0.00017690387480630613,0.00043587228941920016,0.0006538084341288003
RP3beta,0.3,500,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.3,500,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.6,200,overall,5957,0.11566323633982326,0.0778456793168932,0.4940406244754071,0.12579708940792658,0.1315236038122843,0.6412623803928151
RP3beta,0.6,200,q1,5787,0.12524453529772245,0.10467148857972575,0.5018144116122343,0.1432045819703831,0.1782521894721047,0.6512873682391568
RP3beta,0.6,200,q2,4520,0.003014083494507028,0.005554422224776208,0.008849557522123894,0.004440649133889235,0.01044136050773219,0.015707964601769913
RP3beta,0.6,200,q3,3059,0.00242707307837289,0.004181649776615452,0.005557371690094802,0.0034240235458701516,0.007447967745450582,0.011441647597254004
RP3beta,0.6,200,q4,1767,0.0004140953897778009,0.0011318619128466328,0.0011318619128466328,0.0008137782747169491,0.0025466893039049238,0.003395585738539898
RP3beta,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
RP3beta,0.6,500,overall,5957,0.11703923477822148,0.0786987473559101,0.4948799731408427,0.12802540183637837,0.1340762247249271,0.648984388114823
RP3beta,0.6,500,q1,5787,0.1269519259381911,0.10623740283330593,0.5044064282011405,0.14573282810577526,0.18135597167003462,0.6595818213236565
RP3beta,0.6,500,q2,4520,0.002807804829074885,0.00515732546705998,0.007743362831858407,0.004167193298275622,0.00981126051922512,0.014823008849557522
RP3beta,0.6,500,q3,3059,0.0023503709052694883,0.003827503541462351,0.0049035632559660015,0.003363132605504047,0.007210054120809269,0.009807126511932003
RP3beta,0.6,500,q4,1767,0.0003322596491686353,0.0007545746085644218,0.0011318619128466328,0.0009363357469038996,0.00311262026032824,0.003961516694963215
RP3beta,0.6,500,q5,775,0.0,0.0,0.0,0.0001830566475690247,0.0006451612903225806,0.0012903225806451613
