dataset,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,EASE,0.0,0.0,,,overall,5957,0.11328379740943686,0.08900295108885321,0.5066308544569414,0.12998526618389683,0.1536942111527436,0.6822225952660735
ml-1m,EASE,0.0,0.0,,,q1,5787,0.12504748984501393,0.12342798033846346,0.5114912735441507,0.14918215057341186,0.2074152043009652,0.6860203905304993
ml-1m,EASE,0.0,0.0,,,q2,4520,0.006831619305343441,0.012777773380240713,0.028982300884955754,0.012396876454437745,0.030764446374546176,0.07079646017699115
ml-1m,EASE,0.0,0.0,,,q3,3059,0.0015441454207016118,0.003623188405797101,0.005884275907159202,0.0027273065340833384,0.0076659038901601825,0.011114743380189604
ml-1m,EASE,0.0,0.0,,,q4,1767,0.0,0.0,0.0,0.00022177074242557679,0.0008488964346349745,0.0011318619128466328
ml-1m,EASE,0.0,0.0,,,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE,0.25,0.0,,,overall,5957,0.11549840730447554,0.0898600007917909,0.5069665939231157,0.13210584631018213,0.15472399598783496,0.6798724190028538
ml-1m,EDLAE,0.25,0.0,,,q1,5787,0.12784964766360501,0.12477974262404602,0.5132192846034215,0.15217790469388326,0.2096962821414023,0.6848107827890099
ml-1m,EDLAE,0.25,0.0,,,q2,4520,0.00614140311959107,0.011654360982770581,0.024557522123893807,0.011457689451497445,0.02875039568349884,0.06305309734513274
ml-1m,EDLAE,0.25,0.0,,,q3,3059,0.0011422618099810487,0.002805927863136101,0.004249754821837201,0.0022436315425734565,0.006510842323199302,0.009480222294867604
ml-1m,EDLAE,0.25,0.0,,,q4,1767,0.0,0.0,0.0,0.00013094409346902045,0.0005659309564233164,0.0005659309564233164
ml-1m,EDLAE,0.25,0.0,,,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE,0.5,0.0,,,overall,5957,0.11809646044263353,0.09043697788980211,0.5111633372502937,0.1342511252403593,0.15539873456840655,0.6807117676682894
ml-1m,EDLAE,0.5,0.0,,,q1,5787,0.131129262404532,0.12616993176816144,0.5192673233108692,0.15563898658240025,0.2128941468909264,0.6882668049075514
ml-1m,EDLAE,0.5,0.0,,,q2,4520,0.005010929905366399,0.008937788371918375,0.01991150442477876,0.009655216011412584,0.024085066398152926,0.051106194690265484
ml-1m,EDLAE,0.5,0.0,,,q3,3059,0.0009457548429391023,0.002315571537539501,0.0035959463877084014,0.0016753618031647053,0.004740111147433802,0.006864988558352402
ml-1m,EDLAE,0.5,0.0,,,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE,0.5,0.0,,,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE,0.75,0.0,,,overall,5957,0.12071511666523221,0.0895158127836249,0.5108275977841196,0.1358735941125423,0.15320319449003028,0.6830619439315091
ml-1m,EDLAE,0.75,0.0,,,q1,5787,0.1346394346986902,0.12593453744570882,0.5216865387938483,0.15875157597993697,0.2123835754986395,0.6950060480387075
ml-1m,EDLAE,0.75,0.0,,,q2,4520,0.0032426531141325973,0.006154764583283173,0.011504424778761062,0.006368088357980761,0.01628843039761571,0.0334070796460177
ml-1m,EDLAE,0.75,0.0,,,q3,3059,0.0004408667666670889,0.0010079546692819002,0.001961425302386401,0.0009551866427255237,0.002914895935490901,0.004249754821837201
ml-1m,EDLAE,0.75,0.0,,,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE,0.75,0.0,,,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,0.3,rp3beta,none,overall,5957,0.12135201986042603,0.09025404312135989,0.5138492529796878,0.13589202090478575,0.15279899476321845,0.6832298136645962
ml-1m,EDLAE-Laplacian,0.75,0.3,rp3beta,none,q1,5787,0.13541488518702674,0.1271806705334244,0.5249697598064628,0.15892784643107521,0.2124000096264169,0.6955244513564887
ml-1m,EDLAE-Laplacian,0.75,0.3,rp3beta,none,q2,4520,0.0031020672319644967,0.005778658388592908,0.01084070796460177,0.006026198508034766,0.01514161978701842,0.03185840707964602
ml-1m,EDLAE-Laplacian,0.75,0.3,rp3beta,none,q3,3059,0.00042496627020217995,0.0010079546692819002,0.001961425302386401,0.0008506372327489863,0.002587991718426501,0.003922850604772802
ml-1m,EDLAE-Laplacian,0.75,0.3,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,0.3,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,1.0,rp3beta,none,overall,5957,0.12132542290782262,0.0893113920886534,0.5116669464495551,0.1357200251951643,0.1516246647190621,0.6790330703374181
ml-1m,EDLAE-Laplacian,0.75,1.0,rp3beta,none,q1,5787,0.13533083312762892,0.12583245875688712,0.5237601520649732,0.15883435668891377,0.2112280523677563,0.6925868325557284
