dataset,seed,model,dropout,gamma,graph_source,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20
ml-1m,0,EASE,0.0,0.0,,,135.4473683834076,0.36335613906888853,0.229166956340903,0.8856524633821571,0.22513923250602305,0.365349054583525,0.20414787720272656,0.9375832223701731,0.3316665455941842
ml-1m,0,EDLAE,0.75,0.0,,,3.722165822982788,0.36582877243443424,0.2333903946235371,0.8779960053262317,0.2222228437639116,0.3639703789488052,0.20531075447048389,0.9312583222370173,0.3231457029426086
ml-1m,0,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,3.838338851928711,0.3626418094224172,0.23076262925677496,0.8763315579227696,0.21976493232650232,0.3598952181578005,0.20225636836860142,0.9289280958721704,0.31904074170289964
ml-1m,0,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,3.4768667221069336,0.3569352112165382,0.2263091548496772,0.8691744340878829,0.2138473502573716,0.35348113768347655,0.19741676331264071,0.9264314247669774,0.3116142391763234
ml-1m,0,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,4.203232526779175,0.3404569929821597,0.21325006299864227,0.8536950732356857,0.2009712763128771,0.3355404055418918,0.18445004498583006,0.9137816245006658,0.29177022945499975
ml-1m,1,EASE,0.0,0.0,,,140.47493696212769,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132
ml-1m,1,EDLAE,0.75,0.0,,,4.19173264503479,0.36238666794004887,0.2310683198027302,0.8687978687978688,0.2179782975881695,0.3596933270849375,0.2024809299775899,0.9287379287379287,0.31772502894290205
ml-1m,1,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,3.8026719093322754,0.35908870688513134,0.22881487531218256,0.8651348651348651,0.21459720156216308,0.3562879737002685,0.20010136377732943,0.9262404262404262,0.313341530120037
ml-1m,1,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,3.831749439239502,0.3526313072655341,0.22354731874218833,0.8606393606393606,0.20968918590630575,0.3495253432639541,0.19486951231093144,0.9215784215784216,0.3068945013513182
ml-1m,1,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,3.6655848026275635,0.33579714110421144,0.2102565370507547,0.8431568431568431,0.1968928339687608,0.33117172998051797,0.18157075869860378,0.9085914085914086,0.2869621528768791
