dataset,lambda,rp3_beta,rp3_topK,graph_source,normalise,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,100,0.3,200,rp3beta,none,0.1,132.70309829711914,0.10777440271605744,0.050592279888161285,0.49991606513345643,0.08632622614142245,0.41346998535871154,0.7295637146480847,2.5570693287170188,0.1236539755409019,0.04905094607918708,0.6724861507470203,0.14622569130380667,0.4951683748169839,0.7187425713175848,2.7193910274520334,0.10777440271605744,0.050592279888161285,0.49991606513345643,0.08632622614142245,0.41346998535871154,0.7295637146480847,2.5570693287170188,436187.0,8.250681916049429e-06,5957,1,0.0008533327946615265,0.0
ml-1m,100,0.3,200,rp3beta,none,0.3,132.6100368499756,0.10906252056511342,0.051599711718944195,0.4985731072687594,0.08737742690298583,0.4055636896046852,0.7306500437249142,2.5408662007648073,0.12481731783448533,0.049879564342140234,0.670639583683062,0.1477831901577552,0.4907759882869693,0.7213696767966769,2.703968580897483,0.10906252056511342,0.051599711718944195,0.4985731072687594,0.08737742690298583,0.4055636896046852,0.7306500437249142,2.5408662007648073,1043708.0,8.1781510613397e-07,5957,1,0.002141450643717508,0.0
ml-1m,100,0.3,200,rp3beta,none,1.0,132.64413452148438,0.11171874743046058,0.053655023886649146,0.49790162833641094,0.0879203769000969,0.38125915080527084,0.7329519776524385,2.494239936194926,0.12806312875429943,0.05171980855687879,0.6714789323484975,0.15196860573948232,0.4767203513909224,0.730459395941182,2.6563694193070555,0.11171874743046058,0.053655023886649146,0.49790162833641094,0.0879203769000969,0.38125915080527084,0.7329519776524385,2.494239936194926,1630597.0,3.5448096400951464e-09,5957,1,0.004797677509064665,0.0
ml-1m,100,0.3,200,rp3beta,none,3.0,131.58785939216614,0.11482312578842045,0.055810130545046244,0.5009232835319792,0.08873507904193409,0.346705710102489,0.7433211665585344,2.408630568474256,0.1310554577085246,0.053659442047410216,0.6692966258183649,0.15273146770704923,0.4374816983894583,0.740962237400163,2.568369522301732,0.11482312578842045,0.055810130545046244,0.5009232835319792,0.08873507904193409,0.346705710102489,0.7433211665585344,2.408630568474256,1980002.5,5.787157128020829e-13,5957,1,0.007902055867024532,0.0
ml-1m,100,0.3,200,rp3beta,none,10.0,132.32271909713745,0.11861447873839188,0.05836644737228884,0.5041128084606346,0.08842558595938782,0.2863836017569546,0.7604866574458466,2.2579129325939036,0.1328696838332976,0.05514659912763929,0.6661071008897096,0.14989017615337058,0.3645680819912152,0.7538098271885594,2.417095707204984,0.11861447873839188,0.05836644737228884,0.5041128084606346,0.08842558595938782,0.2863836017569546,0.7604866574458466,2.2579129325939036,2216931.5,3.223076479730591e-18,5957,1,0.011693408816995977,0.0
ml-1m,100,0.3,200,rp3beta,none,30.0,132.26027393341064,0.12047120469606451,0.05934910937683786,0.5059593755245929,0.08592758921268903,0.21464128843338215,0.7787141636480268,2.0675333944176084,0.1335344748287663,0.05527421949759071,0.6632533154272284,0.14529492934010108,0.27847730600292825,0.7694211953984276,2.2234194690578275,0.12047120469606451,0.05934910937683786,0.5059593755245929,0.08592758921268903,0.21464128843338215,0.7787141636480268,2.0675333944176084,2534831.5,1.4175068298378282e-17,5957,1,0.013550134774668576,0.0
ml-1m,100,0.3,200,rp3beta,none,50.0,131.9173228740692,0.12035994126198032,0.05903971708430448,0.5057915057915058,0.0837258558104128,0.1789165446559297,0.7896574660681968,1.9581576098785711,0.13296192142019975,0.05458467029977279,0.6622460970287057,0.1425498220695494,0.23660322108345536,0.7803704186937077,2.1128273745038446,0.12035994126198032,0.05903971708430448,0.5057915057915058,0.0837258558104128,0.1789165446559297,0.7896574660681968,1.9581576098785711,2637315.0,6.128806871717536e-16,5957,1,0.013438871340584397,0.0
ml-1m,100,0.3,200,rp3beta,none,75.0,132.55215525627136,0.12011419207329471,0.058980693865158515,0.504616417659896,0.08106429887302012,0.15109809663250365,0.7994380267888863,1.862997588288669,0.13168605902955396,0.054071177234511957,0.657210005036092,0.13766756286149961,0.20527086383601756,0.792890010361945,2.016103709991812,0.12011419207329471,0.058980693865158515,0.504616417659896,0.08106429887302012,0.15109809663250365,0.7994380267888863,1.862997588288669,2785099.0,1.423908969165045e-14,5957,1,0.013193122151898792,0.0
ml-1m,100,0.3,200,rp3beta,none,100.0,132.9883258342743,0.11929410438082351,0.05848061763859604,0.5041128084606346,0.0795560703013897,0.1314787701317716,0.8076391570920476,1.7894851545921369,0.12993525755687307,0.053206665270685204,0.6513345643780426,0.13378649412368845,0.17862371888726208,0.7984919243650535,1.9413129954979085,0.11929410438082351,0.05848061763859604,0.5041128084606346,0.0795560703013897,0.1314787701317716,0.8076391570920476,1.7894851545921369,2912452.0,1.5167340681278734e-12,5957,1,0.012373034459427588,0.0
ml-1m,100,0.3,200,rp3beta,none,200.0,132.16937351226807,0.11625201141901167,0.05734599974229521,0.4886687930166191,0.07200645248864557,0.08638360175695461,0.8222773947755526,1.613961368839187,0.12430369237152245,0.05114822257496682,0.6268255833473225,0.12028750056714783,0.11800878477306002,0.8067179551050521,1.7647378749736389,0.11625201141901167,0.05734599974229521,0.4886687930166191,0.07200645248864557,0.08638360175695461,0.8222773947755526,1.613961368839187,3142034.5,1.1633844874554338e-06,5957,1,0.009330941497615756,0.0
ml-1m,100,0.3,200,rp3beta,none,500.0,131.51011419296265,0.10844296538630657,0.05352828763080907,0.4529125398690616,0.06329080614003005,0.04685212298682284,0.8138966761792847,1.462414892364215,0.11272856296244393,0.04587242821450307,0.5825079738123217,0.10315438441548805,0.06939970717423133,0.7979565932785526,1.6170254727030033,0.10844296538630657,0.05352828763080907,0.4529125398690616,0.06329080614003005,0.04685212298682284,0.8138966761792847,1.462414892364215,3417812.5,0.46148234046213643,5957,1,0.0015218954649106526,0.0
ml-1m,100,0.3,200,rp3beta,none,1000.0,131.94842195510864,0.0996293489158849,0.04856285258089458,0.4268927312405573,0.05602547172753148,0.0404099560761347,0.8178095189437344,1.4248156016022686,0.10502586394813156,0.04142969860984103,0.5642101729058251,0.09732739712295166,0.06237188872620791,0.8041083949840839,1.5836608495121811,0.0996293489158849,0.04856285258089458,0.4268927312405573,0.05602547172753148,0.0404099560761347,0.8178095189437344,1.4248156016022686,3198973.0,0.0002692731154656651,5957,-1,-0.007291721005511006,0.0
ml-1m,100,0.6,200,rp3beta,none,0.1,131.51067328453064,0.10746592331975417,0.05028913845924345,0.5012590229981534,0.08652708224581294,0.41171303074670573,0.7294467868467496,2.5545869983866933,0.1234429236036655,0.04884915017843603,0.6739969783448044,0.1463970013980968,0.49633967789165445,0.7199213537728351,2.7186020797775856,0.10746592331975417,0.05028913845924345,0.5012590229981534,0.08652708224581294,0.41171303074670573,0.7294467868467496,2.5545869983866933,288957.0,0.0006761667408537386,5957,1,0.0005448533983582715,0.0
ml-1m,100,0.6,200,rp3beta,none,0.3,131.86495113372803,0.10825262561183467,0.05097330490058233,0.4994124559341951,0.08651846328141205,0.40029282576866765,0.7292320641259924,2.536817139720842,0.12478691948226266,0.04960103930332562,0.6739969783448044,0.14836595308689687,0.4869692532942899,0.7208181888016654,2.7019164312493613,0.10825262561183467,0.05097330490058233,0.4994124559341951,0.08651846328141205,0.40029282576866765,0.7292320641259924,2.536817139720842,812153.0,8.729614351008381e-07,5957,1,0.0013315556904387568,0.0
ml-1m,100,0.6,200,rp3beta,none,1.0,132.33168268203735,0.11066153150000933,0.052735304572963555,0.5010911532650663,0.08801297870187216,0.3768667642752562,0.7322749061879497,2.4904576260125935,0.12708935534599208,0.05095805534421874,0.6758435454087628,0.1514593789145314,0.469692532942899,0.7272024843883242,2.6585438738569245,0.11066153150000933,0.052735304572963555,0.5010911532650663,0.08801297870187216,0.3768667642752562,0.7322749061879497,2.4904576260125935,1445734.0,2.518482261973545e-08,5957,1,0.0037404615786134168,0.0
ml-1m,100,0.6,200,rp3beta,none,3.0,132.32244992256165,0.1140692967268219,0.05507703485058557,0.5029377203290247,0.08934111473551372,0.34055636896046854,0.7391160294521169,2.4112984757552303,0.13099572544195964,0.053108125330810566,0.6788652006043311,0.15494571891081452,0.4310395314787701,0.734780818237222,2.580172131939022,0.1140692967268219,0.05507703485058557,0.5029377203290247,0.08934111473551372,0.34055636896046854,0.7391160294521169,2.4112984757552303,1816454.0,9.854729243554089e-14,5957,1,0.007148226805425975,0.0
