dataset,lambda,rp3_beta,rp3_topK,gamma,NDCG@k,MAP@k,HitRate@k,Recall@k,train_time_s
ml-small,50,0.3,100,0.01,0.11666082450532624,0.056109322109332144,0.5008431703204047,0.08443954835382972,16.777084589004517
ml-small,50,0.3,100,0.1,0.11661944673290942,0.056117679458892414,0.5008431703204047,0.08285366616826675,16.73832106590271
ml-small,50,0.3,100,0.3,0.1177644881671581,0.05672855173547777,0.4991568296795953,0.08560262578407132,16.872153282165527
ml-small,50,0.3,100,1.0,0.11764069144390604,0.056734931278113646,0.4991568296795953,0.0872738051404635,17.117839097976685
ml-small,50,0.3,100,3.0,0.11839665493987289,0.05739798494190006,0.4873524451939292,0.0847016220494426,16.869078874588013
ml-small,50,0.3,100,10.0,0.11807374009389628,0.05821791709313791,0.47386172006745364,0.08023234198655749,16.803684949874878
ml-small,50,0.3,100,30.0,0.11532852204893274,0.05702465715534855,0.47048903878583476,0.07725330274733765,16.916450262069702
ml-small,50,0.3,100,100.0,0.10731440121987981,0.05301305235728668,0.44350758853288363,0.069646241004375,16.81097149848938
ml-small,50,0.6,100,0.01,0.11647138399483416,0.055970767811840245,0.5008431703204047,0.08438351751979097,17.06528115272522
ml-small,50,0.6,100,0.1,0.11617040915512877,0.05599425612790867,0.4974704890387858,0.08200456307455757,16.8865327835083
ml-small,50,0.6,100,0.3,0.11665974306737119,0.056374874289232275,0.4957841483979764,0.08130130228795684,16.900226354599
ml-small,50,0.6,100,1.0,0.1184154949443128,0.05718573423373471,0.4991568296795953,0.08449863376427104,16.874696016311646
ml-small,50,0.6,100,3.0,0.11885219015282597,0.057781170693872445,0.4924114671163575,0.08630055529485148,16.90109133720398
ml-small,50,0.6,100,10.0,0.1196694803745707,0.05871789515881301,0.4957841483979764,0.08474870525409557,16.857688665390015
ml-small,50,0.6,100,30.0,0.12149427372945938,0.06030801554585984,0.48903878583473864,0.08601877608457187,16.927000284194946
ml-small,50,0.6,100,100.0,0.11415488938013361,0.056502400879157484,0.47554806070826305,0.07681741344083877,16.867510557174683
ml-small,200,0.3,100,0.01,0.12243896331264152,0.06018359746934186,0.5008431703204047,0.08761304524366965,16.851541996002197
ml-small,200,0.3,100,0.1,0.12245580071521568,0.06028622222732076,0.5025295109612141,0.08764400462035274,16.771347522735596
ml-small,200,0.3,100,0.3,0.12238715910728176,0.06023976182191071,0.5008431703204047,0.08743321204025156,17.627549409866333
ml-small,200,0.3,100,1.0,0.12099612669729105,0.059533339005454156,0.4924114671163575,0.08597353733471766,16.888133764266968
ml-small,200,0.3,100,3.0,0.12032211520307388,0.059750014817619,0.48903878583473864,0.08284197124097893,16.889474153518677
ml-small,200,0.3,100,10.0,0.11962737569471929,0.05919710943836657,0.4839797639123103,0.08098937443871775,16.895566701889038
ml-small,200,0.3,100,30.0,0.11347771104132844,0.05589402449506441,0.47048903878583476,0.07524382180816293,16.836453199386597
ml-small,200,0.3,100,100.0,0.1064717722386399,0.05231364480712027,0.4468802698145025,0.06985692322072418,16.90373730659485
ml-small,200,0.6,100,0.01,0.12230006170190826,0.060133810269470345,0.5008431703204047,0.08759222622341274,16.784510374069214
ml-small,200,0.6,100,0.1,0.12257227808888901,0.06028140411120416,0.5025295109612141,0.08777674318520581,17.007474899291992
ml-small,200,0.6,100,0.3,0.12264700521395547,0.060401572611431684,0.5025295109612141,0.08779730831497179,16.804606676101685
ml-small,200,0.6,100,1.0,0.12243623031123117,0.06023503160242299,0.5025295109612141,0.08762058322256373,16.948403120040894
ml-small,200,0.6,100,3.0,0.12092102595165312,0.059333009841873174,0.4957841483979764,0.08560664355204106,16.857953548431396
ml-small,200,0.6,100,10.0,0.12226638666704513,0.06077316928582687,0.4924114671163575,0.08619857017850407,16.88249111175537
ml-small,200,0.6,100,30.0,0.12059665990080093,0.05958747536238904,0.4856661045531197,0.08602703830252939,16.804198741912842
ml-small,200,0.6,100,100.0,0.11298760508215637,0.05597096192796023,0.47217537942664417,0.0767691823731833,16.839833736419678
