dataset,source,normalise,ease_lambda,gamma,rp3_beta,topK,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20,NDCG@k,MAP@k,HitRate@k,Recall@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_median_diff
ml-1m,rp3beta,sym,500,0.3,0.6,200,141.23281455039978,0.11378174080666079,0.054580692366850314,0.5076380728554641,0.08920095513861671,0.13042384068630214,0.05261210217377074,0.6818868557998993,0.15404755595869235,0.11378174080666079,0.054580692366850314,0.5076380728554641,0.08920095513861671,174209.0,0.00046466069638039805,5957,0,0.0
ml-1m,rp3beta,sym,500,1.0,0.6,200,140.56196856498718,0.11444280684004342,0.055028429684596494,0.5066308544569414,0.08905060548607943,0.13126003208535056,0.05295026367774053,0.6823904649991607,0.15464490919404505,0.11444280684004342,0.055028429684596494,0.5066308544569414,0.08905060548607943,656161.0,8.543944994767846e-06,5957,0,0.0
ml-1m,rp3beta,sym,500,3.0,0.6,200,141.5014832019806,0.11642659878031784,0.05606230216145921,0.5125062951149908,0.09020785609133787,0.13234361326605343,0.053593886034837945,0.681551116333725,0.1546805905558233,0.11642659878031784,0.05606230216145921,0.5125062951149908,0.09020785609133787,1258220.0,2.3000520439273437e-09,5957,0,0.0
ml-1m,rp3beta,sym,500,10.0,0.6,200,141.44372010231018,0.11843408553821233,0.05774312881880909,0.5104918583179453,0.08938239769503824,0.1333616928809986,0.054604485513989824,0.6770186335403726,0.15261492840036875,0.11843408553821233,0.05774312881880909,0.5104918583179453,0.08938239769503824,1798984.0,6.847547861856498e-10,5957,0,0.0
ml-1m,rp3beta,sym,500,30.0,0.6,200,142.04206895828247,0.120714972044924,0.05899332284813652,0.5128420345811651,0.08817800986064958,0.1339077521940215,0.05489547760992091,0.6724861507470203,0.14836892368422552,0.120714972044924,0.05899332284813652,0.5128420345811651,0.08817800986064958,2241818.0,1.1095752424774054e-11,5957,0,0.0
ml-1m,rp3beta,sym,500,100.0,0.6,200,141.86688113212585,0.12112825157456958,0.05930337314857427,0.5079738123216384,0.08331419671695979,0.13287987942629423,0.05446454548947043,0.6622460970287057,0.14091397911380033,0.12112825157456958,0.05930337314857427,0.5079738123216384,0.08331419671695979,2634024.0,1.0767305779813353e-08,5957,0,0.0
ml-1m,p3alpha,sym,500,0.3,0.6,200,140.6956491470337,0.11380305321331188,0.054547280886751454,0.5078059425885513,0.08921410878038395,0.13039074949729643,0.052546805210984,0.6820547255329864,0.15394570935306776,0.11380305321331188,0.054547280886751454,0.5078059425885513,0.08921410878038395,170874.5,0.0001960252387819328,5957,0,0.0
ml-1m,p3alpha,sym,500,1.0,0.6,200,140.1709954738617,0.11440105191266618,0.05498108919859141,0.5064629847238543,0.08883813950698276,0.13122298522530346,0.05288993508022367,0.6822225952660735,0.15449341421582663,0.11440105191266618,0.05498108919859141,0.5064629847238543,0.08883813950698276,653147.0,2.070717069349746e-06,5957,0,0.0
ml-1m,p3alpha,sym,500,3.0,0.6,200,141.42806220054626,0.11660173363951443,0.05609137446907337,0.514184992445862,0.09058801319334717,0.13247588931675724,0.05358609707614295,0.6827262044653349,0.1549340537388009,0.11660173363951443,0.05609137446907337,0.514184992445862,0.09058801319334717,1242787.0,2.444130745257957e-10,5957,0,0.0
ml-1m,p3alpha,sym,500,10.0,0.6,200,141.67695474624634,0.11858904905994705,0.05765848045831778,0.5123384253819037,0.08950409695718942,0.13388870368041195,0.05465854656929241,0.6798724190028538,0.15351733923591818,0.11858904905994705,0.05765848045831778,0.5123384253819037,0.08950409695718942,1805451.5,1.5360753215954042e-10,5957,0,0.0
