dataset,graph_source,normalise,bucket_by,gamma,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain,wilcoxon_stat,wilcoxon_p,wilcoxon_n_pairs,wilcoxon_sign,wilcoxon_mean_diff,wilcoxon_median_diff
ml-1m,rp3beta,none,item_popularity,0.0,overall,5957,ndcg,0.11328379740943686,0.11328379740943686,0.0,0.0,0.0,1.0,5957,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,0.0,q1,5787,ndcg,0.12504748984501393,0.12504748984501393,0.0,0.0,0.0,1.0,5787,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,0.0,q2,4520,ndcg,0.006831619305343441,0.006831619305343441,0.0,0.0,0.0,1.0,4520,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,0.0,q3,3059,ndcg,0.0015441454207016118,0.0015441454207016118,0.0,0.0,0.0,1.0,3059,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,0.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,0.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,3.0,overall,5957,ndcg,0.11328379740943686,0.11711215968807095,0.00382836227863409,0.03379443809424397,1663516.5,3.2492890586738126e-07,5957,1,0.003828362278634102,0.0
ml-1m,rp3beta,none,item_popularity,3.0,q1,5787,ndcg,0.12504748984501393,0.1299978130551181,0.004950323210104163,0.039587545629581854,1558792.5,2.1244672509482924e-09,5787,1,0.004950323210104135,0.0
ml-1m,rp3beta,none,item_popularity,3.0,q2,4520,ndcg,0.006831619305343441,0.005198873104959518,-0.001632746200383923,-0.23899841712591466,1303.5,6.602745740116796e-08,4520,-1,-0.0016327462003839228,0.0
ml-1m,rp3beta,none,item_popularity,3.0,q3,3059,ndcg,0.0015441454207016118,0.0009613894494497001,-0.0005827559712519117,-0.37739707895330576,21.5,0.005305357158783947,3059,-1,-0.0005827559712519118,0.0
ml-1m,rp3beta,none,item_popularity,3.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,3.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,10.0,overall,5957,ndcg,0.11328379740943686,0.11930834949084915,0.006024552081412282,0.053181056948841475,2087886.5,8.217701532124626e-09,5957,1,0.006024552081412267,0.0
ml-1m,rp3beta,none,item_popularity,10.0,q1,5787,ndcg,0.12504748984501393,0.13298802756128644,0.007940537716272511,0.06350017682173512,1941311.0,6.140258459676387e-13,5787,1,0.007940537716272523,0.0
ml-1m,rp3beta,none,item_popularity,10.0,q2,4520,ndcg,0.006831619305343441,0.0035533071770464937,-0.0032783121282969475,-0.47987336263494257,788.0,1.9655803593378745e-15,4520,-1,-0.0032783121282969475,0.0
ml-1m,rp3beta,none,item_popularity,10.0,q3,3059,ndcg,0.0015441454207016118,0.0004006047299101523,-0.0011435406907914596,-0.7405654127263934,12.0,0.0008313771099980796,3059,-1,-0.0011435406907914596,0.0
ml-1m,rp3beta,none,item_popularity,10.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,10.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,30.0,overall,5957,ndcg,0.11328379740943686,0.1202739433367663,0.006990145927329439,0.06170472818866804,2491574.0,1.0257824128589738e-07,5957,1,0.0069901459273294326,0.0
ml-1m,rp3beta,none,item_popularity,30.0,q1,5787,ndcg,0.12504748984501393,0.13414515057733448,0.009097660732320545,0.07275364538381655,2327721.0,1.8919706726196603e-11,5787,1,0.009097660732320533,0.0
ml-1m,rp3beta,none,item_popularity,30.0,q2,4520,ndcg,0.006831619305343441,0.0014678373854370105,-0.00536378191990643,-0.785140635063063,154.0,9.896011458681813e-22,4520,-1,-0.00536378191990643,0.0
ml-1m,rp3beta,none,item_popularity,30.0,q3,3059,ndcg,0.0015441454207016118,0.00015877568733268366,-0.001385369733368928,-0.8971756900586857,0.0,0.00028961940975555264,3059,-1,-0.0013853697333689283,0.0
ml-1m,rp3beta,none,item_popularity,30.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,30.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,50.0,overall,5957,ndcg,0.11328379740943686,0.12079196579237561,0.007508168382938746,0.06627751324227144,2596974.0,6.393188828824278e-08,5957,1,0.007508168382938749,0.0
ml-1m,rp3beta,none,item_popularity,50.0,q1,5787,ndcg,0.12504748984501393,0.13456385788416514,0.009516368039151207,0.07610203172367523,2451206.0,4.438273511413943e-11,5787,1,0.009516368039151192,0.0
ml-1m,rp3beta,none,item_popularity,50.0,q2,4520,ndcg,0.006831619305343441,0.0007129497452959338,-0.006118669560047508,-0.8956397138906305,151.0,1.3858736635383827e-21,4520,-1,-0.006118669560047508,0.0
ml-1m,rp3beta,none,item_popularity,50.0,q3,3059,ndcg,0.0015441454207016118,6.323190703408657e-05,-0.0014809135136675253,-0.9590505491345783,0.0,0.00019438312233538687,3059,-1,-0.0014809135136675253,0.0
ml-1m,rp3beta,none,item_popularity,50.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,50.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,75.0,overall,5957,ndcg,0.11328379740943686,0.12012590876561874,0.006842111356181874,0.060397969635964076,2752245.5,1.613485746506517e-06,5957,1,0.006842111356181873,0.0
ml-1m,rp3beta,none,item_popularity,75.0,q1,5787,ndcg,0.12504748984501393,0.133300525267429,0.008253035422415067,0.0659992090416531,2613731.5,7.961238723222159e-09,5787,1,0.008253035422415076,0.0
ml-1m,rp3beta,none,item_popularity,75.0,q2,4520,ndcg,0.006831619305343441,0.000251687303181774,-0.006579932002161667,-0.9631584706447396,58.5,1.1546682512248945e-22,4520,-1,-0.006579932002161667,0.0
ml-1m,rp3beta,none,item_popularity,75.0,q3,3059,ndcg,0.0015441454207016118,0.0,-0.0015441454207016118,-1.0,0.0,0.00019438312233538687,3059,-1,-0.0015441454207016118,0.0
ml-1m,rp3beta,none,item_popularity,75.0,q4,1767,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,1767,0,0.0,0.0
ml-1m,rp3beta,none,item_popularity,75.0,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775,0,0.0,0.0
