dataset,graph_source,normalise,bucket_by,gamma,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain,wilcoxon_stat,wilcoxon_p,wilcoxon_n_pairs
synth,rp3beta,none,user_activity,0.0,overall,49,ndcg,0.03850720014764371,0.03850720014764371,0.0,0.0,0.0,1.0,49
synth,rp3beta,none,user_activity,0.0,q1,7,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,7
synth,rp3beta,none,user_activity,0.0,q2,13,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,13
synth,rp3beta,none,user_activity,0.0,q3,7,ndcg,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,1.0,7
synth,rp3beta,none,user_activity,0.0,q4,11,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,11
synth,rp3beta,none,user_activity,0.0,q5,11,ndcg,0.12607752793041288,0.12607752793041288,0.0,0.0,0.0,1.0,11
synth,rp3beta,none,user_activity,5.0,overall,49,ndcg,0.03850720014764371,0.030612244897959183,-0.007894955249684525,-0.20502542951483907,0.0,0.31731050786291415,49
synth,rp3beta,none,user_activity,5.0,q1,7,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,7
synth,rp3beta,none,user_activity,5.0,q2,13,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,13
synth,rp3beta,none,user_activity,5.0,q3,7,ndcg,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,1.0,7
synth,rp3beta,none,user_activity,5.0,q4,11,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,11
synth,rp3beta,none,user_activity,5.0,q5,11,ndcg,0.12607752793041288,0.09090909090909091,-0.03516843702132197,-0.27894294565112987,0.0,1.0,11
synth,rp3beta,none,user_activity,50.0,overall,49,ndcg,0.03850720014764371,0.02040816326530612,-0.018099036882337587,-0.4700169530098927,0.0,0.17971249487899976,49
synth,rp3beta,none,user_activity,50.0,q1,7,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,7
synth,rp3beta,none,user_activity,50.0,q2,13,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,13
synth,rp3beta,none,user_activity,50.0,q3,7,ndcg,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,1.0,7
synth,rp3beta,none,user_activity,50.0,q4,11,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,11
synth,rp3beta,none,user_activity,50.0,q5,11,ndcg,0.12607752793041288,0.045454545454545456,-0.08062298247586742,-0.6394714728255649,0.0,0.5,11
