dataset,graph_source,normalise,bucket_by,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain,wilcoxon_stat,wilcoxon_p,wilcoxon_n_pairs,wilcoxon_sign,wilcoxon_median_diff
ml-1m,itemknn,none,item_popularity,overall,5957,ndcg,0.10692106992139593,0.12357704063411855,0.016655970712722623,0.155778189696076,2450375.5,1.4812413200470281e-24,5957.0,0.0,0.0
ml-1m,itemknn,none,item_popularity,overall,5957,recall,0.08641180715099708,0.0870705346232474,0.00065872747225032,0.007623118807123792,,,,,
ml-1m,itemknn,none,item_popularity,overall,5957,hit,0.5019305019305019,0.5126741648480779,0.010743662917576002,0.021404682274247574,,,,,
ml-1m,itemknn,none,item_popularity,q1,5787,ndcg,0.11612663786366764,0.13795938451580003,0.02183274665213239,0.18800808370740893,2223341.0,3.9198582974862776e-35,5787.0,0.0,0.0
ml-1m,itemknn,none,item_popularity,q1,5787,recall,0.11618284296277995,0.12352020245117412,0.007337359488394174,0.06315355435694367,,,,,
ml-1m,itemknn,none,item_popularity,q1,5787,hit,0.5009504060825989,0.5260065664420253,0.02505616035942637,0.050017247326664516,,,,,
ml-1m,itemknn,none,item_popularity,q2,4520,ndcg,0.009755115005013802,0.0016490738872290355,-0.008106041117784766,-0.8309529014899909,347.5,2.0692476298531525e-30,4520.0,0.0,0.0
ml-1m,itemknn,none,item_popularity,q2,4520,recall,0.018229681208522506,0.00310684276392241,-0.015122838444600096,-0.829572293207742,,,,,
ml-1m,itemknn,none,item_popularity,q2,4520,hit,0.0413716814159292,0.006858407079646018,-0.034513274336283185,-0.8342245989304813,,,,,
ml-1m,itemknn,none,item_popularity,q3,3059,ndcg,0.002633425252488418,0.00018710436519969845,-0.0024463208872887196,-0.9289501894831087,3.0,1.764195700344765e-05,3059.0,0.0,0.0
ml-1m,itemknn,none,item_popularity,q3,3059,recall,0.005339435545385201,0.0003541462351531001,-0.004985289310232102,-0.9336734693877552,,,,,
ml-1m,itemknn,none,item_popularity,q3,3059,hit,0.008172605426610004,0.0009807126511932004,-0.007191892775416804,-0.88,,,,,
ml-1m,itemknn,none,item_popularity,q4,1767,ndcg,0.00016359073362642211,0.0,-0.00016359073362642211,-1.0,0.0,0.31731050786291415,1767.0,0.0,0.0
ml-1m,itemknn,none,item_popularity,q4,1767,recall,0.0005659309564233164,0.0,-0.0005659309564233164,-1.0,,,,,
ml-1m,itemknn,none,item_popularity,q4,1767,hit,0.0005659309564233164,0.0,-0.0005659309564233164,-1.0,,,,,
ml-1m,itemknn,none,item_popularity,q5,775,ndcg,0.0,0.0,0.0,0.0,0.0,1.0,775.0,0.0,0.0
ml-1m,itemknn,none,item_popularity,q5,775,recall,0.0,0.0,0.0,0.0,,,,,
ml-1m,itemknn,none,item_popularity,q5,775,hit,0.0,0.0,0.0,0.0,,,,,
