dataset,bucket,n_users,metric,EASE,Laplacian,abs_gain,rel_gain
ml-small,overall,593,ndcg,0.12229157207816574,0.12264700521395547,0.0003554331357897289,0.0029064401556841944
ml-small,overall,593,recall,0.08759222622341274,0.08779730831497179,0.00020508209155904733,0.002341327540139977
ml-small,overall,593,hit,0.5008431703204047,0.5025295109612141,0.001686340640809414,0.003367003367003308
ml-small,head,575,ndcg,0.13284958958421342,0.1332125624592336,0.0003629728750201844,0.002732209231177908
ml-small,head,575,recall,0.11232380261594412,0.11256207766487836,0.00023827504893424167,0.002121322848630296
ml-small,head,575,hit,0.5147826086956522,0.5165217391304348,0.0017391304347825765,0.0033783783783783157
ml-small,torso,362,ndcg,0.0004089529156987089,0.0004089529156987089,0.0,0.0
ml-small,torso,362,recall,0.0009208103130755064,0.0009208103130755064,0.0,0.0
ml-small,torso,362,hit,0.0027624309392265192,0.0027624309392265192,0.0,0.0
ml-small,tail,281,ndcg,0.0,0.0,0.0,0.0
ml-small,tail,281,recall,0.0,0.0,0.0,0.0
ml-small,tail,281,hit,0.0,0.0,0.0,0.0
