dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_SLIM_stat,wilcoxon_vs_SLIM_p,wilcoxon_vs_SLIM_n_pairs,wilcoxon_vs_SLIM_sign,wilcoxon_vs_SLIM_mean_diff,wilcoxon_vs_SLIM_median_diff,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,SLIM,0.0,,,0.0001,0.1,536.0508623123169,0.11072023052310173,0.05262612971593303,0.4997481954003693,0.08235446329211267,0.5130307467057101,0.7612543625051071,2.640489332730392,0.1245235410592533,0.0494008859796868,0.6756756756756757,0.14102092686961903,0.6538799414348463,0.7673105832883087,2.785328256634086,0.11072023052310173,0.05262612971593303,0.4997481954003693,0.08235446329211267,0.5130307467057101,0.7612543625051071,2.640489332730392,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.0001,0.5,516.7364649772644,0.11093127900116971,0.05273084615438948,0.4997481954003693,0.08275637679112496,0.5136163982430454,0.7611016733568912,2.643757541617607,0.12492682226314691,0.04953866654915189,0.6771865032734598,0.14203551483936616,0.6544655929721815,0.7668015708400886,2.7895068744356997,0.11093127900116971,0.05273084615438948,0.4997481954003693,0.08275637679112496,0.5136163982430454,0.7611016733568912,2.643757541617607,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.0001,0.9,495.42561531066895,0.11128881893756112,0.05296044539278789,0.5012590229981534,0.08333581106054759,0.5106881405563689,0.7596700666704654,2.6459181227476205,0.12553945256693905,0.049797278629713296,0.6805438979352023,0.14303269354597659,0.641874084919473,0.7626728782552332,2.790346161712477,0.11128881893756112,0.05296044539278789,0.5012590229981534,0.08333581106054759,0.5106881405563689,0.7596700666704654,2.6459181227476205,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.001,0.1,510.5456454753876,0.11243459391596226,0.05337818196994477,0.5069665939231157,0.08539815035797826,0.46412884333821375,0.7466604249487256,2.617901368185922,0.1266814969908209,0.05030262788164016,0.6839012925969448,0.14479697849011686,0.5812591508052709,0.749140984782207,2.7619003349279123,0.11243459391596226,0.05337818196994477,0.5069665939231157,0.08539815035797826,0.46412884333821375,0.7466604249487256,2.617901368185922,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.001,0.5,474.7521278858185,0.11179052227999879,0.05314186270818924,0.5042806781937217,0.08508852951126405,0.4480234260614934,0.7360339074917079,2.6278678467150183,0.1269181194550683,0.05038056294099101,0.6862514688601645,0.1455418558039374,0.5472913616398243,0.7342586198054131,2.766489723224445,0.11179052227999879,0.05314186270818924,0.5042806781937217,0.08508852951126405,0.4480234260614934,0.7360339074917079,2.6278678467150183,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.001,0.9,470.88501048088074,0.11226018260601608,0.053298232608532815,0.5076380728554641,0.08566484648864661,0.4301610541727672,0.7284491202151842,2.6237653628292135,0.12688712996606946,0.05039963169273131,0.6872586872586872,0.1451207480303488,0.5203513909224011,0.7243240598137712,2.7596313687877636,0.11226018260601608,0.053298232608532815,0.5076380728554641,0.08566484648864661,0.4301610541727672,0.7284491202151842,2.6237653628292135,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.01,0.1,441.90289640426636,0.11470472234249346,0.054773751256855366,0.5135135135135135,0.0874630103055523,0.383601756954612,0.7318101098585665,2.5292012416053695,0.12927915968551945,0.05180568354911492,0.6884337753902972,0.1478709114894093,0.469692532942899,0.7241984848186735,2.681877345476008,0.11470472234249346,0.054773751256855366,0.5135135135135135,0.0874630103055523,0.383601756954612,0.7318101098585665,2.5292012416053695,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.01,0.5,405.9117991924286,0.11322713946830959,0.05327382853022457,0.518213866039953,0.0850431669203348,0.30307467057101023,0.7100338253457346,2.4449833059310087,0.12777643682787135,0.05037847484935022,0.6884337753902972,0.14602603052882754,0.3739385065885798,0.7005501710312578,2.5944989712702973,0.11322713946830959,0.05327382853022457,0.518213866039953,0.0850431669203348,0.30307467057101023,0.7100338253457346,2.4449833059310087,,,0,0,,,,,0,0,,
ml-1m,SLIM,0.0,,,0.01,0.9,332.77418279647827,0.11245450820870428,0.052587849527179605,0.5217391304347826,0.08350969200733148,0.25797950219619326,0.706151215759862,2.3642786181251996,0.12624733581516112,0.04943450877144995,0.68826590565721,0.14180170795507996,0.3142020497803807,0.690254731759655,2.5095143870030503,0.11245450820870428,0.052587849527179605,0.5217391304347826,0.08350969200733148,0.25797950219619326,0.706151215759862,2.3642786181251996,,,0,0,,,,,0,0,,
ml-1m,EASE,0.0,,,,,137.21274495124817,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.34904831625183014,0.7395399130006659,2.4266168673941815,0.12998526618389683,0.052330845697061174,0.6822225952660735,0.1536942111527436,0.4401171303074671,0.7336875574574091,2.59966741197274,0.11328379740943686,0.054285270741016085,0.5066308544569414,0.08900295108885321,0.34904831625183014,0.7395399130006659,2.4266168673941815,2449400.0,0.19539592052967392,5957,-1,-0.0014209249330565936,0.0,,,0,0,,
